task_id,date,store_id,workstation,release_time_s,completion_time_s,source_lines,completed_lines,status
2023-03-03/ALMA,2023-03-03,ALMA,WS_2_20,0.0,1760.6499999989464,35,35,completed
2023-03-03/AMPP,2023-03-03,AMPP,WS_13_20,0.0,3244.250000003037,159,159,completed
2023-03-03/APUR,2023-03-03,APUR,WS_25_20,0.0,180.80000000000686,2,2,completed
2023-03-03/AUST,2023-03-03,AUST,WS_8_20,0.0,202.80000000001186,1,1,completed
2023-03-03/BAMP,2023-03-03,BAMP,WS_19_20,0.0,2025.8499999987052,71,71,completed
2023-03-03/BANT,2023-03-03,BANT,WS_30_20,0.0,1232.8999999994264,29,29,completed
2023-03-03/BDBU,2023-03-03,BDBU,WS_19_20,0.0,2302.24999999961,1,1,completed
2023-03-03/BDMC,2023-03-03,BDMC,WS_19_20,0.0,5211.000000010192,118,118,completed
2023-03-03/BDPP,2023-03-03,BDPP,WS_2_20,0.0,4105.200000006169,94,94,completed
2023-03-03/BDRW,2023-03-03,BDRW,WS_30_20,0.0,1499.499999999184,3,3,completed
2023-03-03/BHAU,2023-03-03,BHAU,WS_30_20,0.0,3913.400000005471,97,97,completed
2023-03-03/BKAG,2023-03-03,BKAG,WS_13_20,0.0,3718.4000000047618,4,4,completed
2023-03-03/BKSD,2023-03-03,BKSD,WS_25_20,0.0,3111.250000002553,109,109,completed
2023-03-03/BKTM,2023-03-03,BKTM,WS_13_20,0.0,3794.2500000050377,1,1,completed
2023-03-03/BLOS,2023-03-03,BLOS,WS_25_20,0.0,5255.250000010353,84,84,completed
2023-03-03/BLWE,2023-03-03,BLWE,WS_2_20,0.0,8039.350000020481,212,212,completed
2023-03-03/BPUU,2023-03-03,BPUU,WS_13_20,0.0,4706.350000008356,28,28,completed
2023-03-03/BURM,2023-03-03,BURM,WS_25_20,0.0,8378.05000001833,108,108,completed
2023-03-03/CENT,2023-03-03,CENT,WS_8_20,0.0,1733.1499999989715,43,43,completed
2023-03-03/CTHR,2023-03-03,CTHR,WS_8_20,0.0,2053.849999998706,2,2,completed
2023-03-03/CTSQ,2023-03-03,CTSQ,WS_13_20,0.0,5158.20000001,11,11,completed
2023-03-03/DEPE,2023-03-03,DEPE,WS_13_20,0.0,5194.250000010131,1,1,completed
2023-03-03/DMHS,2023-03-03,DMHS,WS_8_20,0.0,2244.349999999399,3,3,completed
2023-03-03/DSET,2023-03-03,DSET,WS_8_20,0.0,4747.400000008505,101,101,completed
2023-03-03/DSHA,2023-03-03,DSHA,WS_25_20,0.0,8453.250000017235,1,1,completed
2023-03-03/IPMG,2023-03-03,IPMG,WS_25_20,0.0,12451.599999959051,196,196,completed
2023-03-03/JETG,2023-03-03,JETG,WS_19_20,0.0,8906.50000001064,206,206,completed
2023-03-03/JHJY,2023-03-03,JHJY,WS_30_20,0.0,3950.9000000056076,1,1,completed
2023-03-03/JJNG,2023-03-03,JJNG,WS_19_20,0.0,9188.25000000654,2,2,completed
2023-03-03/JKTP,2023-03-03,JKTP,WS_8_20,0.0,4958.750000009274,1,1,completed
2023-03-03/JLTS,2023-03-03,JLTS,WS_25_20,0.0,12562.449999957438,7,7,completed
2023-03-03/KBES,2023-03-03,KBES,WS_2_20,0.0,8224.650000020561,1,1,completed
2023-03-03/KCHS,2023-03-03,KCHS,WS_8_20,0.0,4983.6000000093645,1,1,completed
2023-03-03/KELS,2023-03-03,KELS,WS_30_20,0.0,4274.750000006786,2,2,completed
2023-03-03/KIDP,2023-03-03,KIDP,WS_25_20,0.0,12692.19999995555,1,1,completed
2023-03-03/KJIN,2023-03-03,KJIN,WS_30_20,0.0,6202.7000000138,76,76,completed
2023-03-03/KJRH,2023-03-03,KJRH,WS_2_20,0.0,10869.549999982073,111,111,completed
2023-03-03/KJSC,2023-03-03,KJSC,WS_25_20,0.0,14678.949999926639,81,81,completed
2023-03-03/KKCH,2023-03-03,KKCH,WS_8_20,0.0,5203.750000010165,6,6,completed
2023-03-03/KKCM,2023-03-03,KKCM,WS_19_20,0.0,10194.99999999189,18,18,completed
2023-03-03/KKDG,2023-03-03,KKDG,WS_13_20,0.0,5351.350000010702,4,4,completed
2023-03-03/KKIN,2023-03-03,KKIN,WS_2_20,0.0,10728.099999984132,3,3,completed
2023-03-03/KKLD,2023-03-03,KKLD,WS_25_20,0.0,15752.599999911015,24,24,completed
2023-03-03/KPBR,2023-03-03,KPBR,WS_2_20,0.0,11312.699999975624,7,7,completed
2023-03-03/KTKM,2023-03-03,KTKM,WS_19_20,0.0,12232.199999962244,73,73,completed
2023-03-03/KTTG,2023-03-03,KTTG,WS_13_20,0.0,5491.250000011211,1,1,completed
2023-03-03/KULA,2023-03-03,KULA,WS_19_20,0.0,12460.899999958916,10,10,completed
2023-03-03/LARK,2023-03-03,LARK,WS_30_20,0.0,6485.150000014827,4,4,completed
2023-03-03/MAYA,2023-03-03,MAYA,WS_13_20,0.0,5819.950000012407,1,1,completed
2023-03-03/MLP2,2023-03-03,MLP2,WS_30_20,0.0,6846.15000001614,2,2,completed
2023-03-03/MMJJ,2023-03-03,MMJJ,WS_13_20,0.0,6169.500000013679,7,7,completed
2023-03-03/MMKA,2023-03-03,MMKA,WS_30_20,0.0,7037.100000016835,2,2,completed
2023-03-03/MMMA,2023-03-03,MMMA,WS_2_20,0.0,11398.999999974369,4,4,completed
2023-03-03/MMSI,2023-03-03,MMSI,WS_2_20,0.0,11575.049999971807,1,1,completed
