robot,handling_service_seconds,translation_seconds,rotation_seconds,safety_blocking_seconds,reservation_path_wait_seconds,other_active_wait_seconds,idle_seconds,empty_distance_m,loaded_distance_m,busy_seconds,utilization
AMR_01,1140.2999999995106,8276.450000019808,1008.7999999996302,0,3514.50000000402,15.300000000000082,1659.7999999990382,2461.999999999918,6775.9999999934635,13955.350000022967,0.8937057921378089
AMR_02,1031.6999999996094,7750.900000019432,987.9999999996492,0,3786.8000000050106,13.800000000000061,2043.9499999986888,2364.0000000000655,6275.999999994104,13571.2000000237,0.8691046835988959
AMR_03,1158.3999999994942,8773.900000012569,960.7999999996739,0,3288.3500000031972,14.45000000000007,1419.249999999257,1712.0000000003809,8407.999999992724,14195.900000014935,0.9091107033934361
AMR_04,1085.99999999956,7646.250000019051,999.8499999996384,0,3654.150000004528,14.500000000000071,2214.3999999992902,2114.0000000004065,6331.9999999941265,13400.750000022777,0.8581890023533189
AMR_05,1104.0999999995436,7893.950000019952,1048.3499999995943,0,3876.500000005337,14.900000000000077,1677.3499999990222,2489.999999999813,6199.999999994404,13937.800000024426,0.8925818836259701
AMR_06,977.3999999996588,7569.400000018772,1015.2499999996244,0,3872.650000005323,13.300000000000054,2167.1499999991183,2749.999999999543,5555.999999995385,13448.000000023378,0.8612149098854823
AMR_07,1067.8999999995765,7763.900000019479,983.2999999996534,0,4018.350000005853,14.000000000000064,1767.69999999894,2170.0000000003306,6471.9999999937545,13847.45000002456,0.8867958361015871
AMR_08,1158.3999999994942,7968.5000000202235,1002.8499999996357,0,3530.450000004078,15.550000000000086,1939.3999999987839,2172.000000000322,6679.999999993505,13675.750000023432,0.875800104392184
AMR_09,1085.99999999956,7524.90000001861,956.8999999996774,0,4095.650000006134,14.40000000000007,1937.2999999987858,1916.000000000463,6371.999999994184,13677.850000023982,0.8759345891714249
AMR_10,1049.799999999593,7876.300000019888,1064.09999999958,0,3645.4500000044964,14.150000000000066,1965.3499999987603,2753.9999999995916,5923.999999994536,13649.800000023557,0.8741382567634377
AMR_11,1031.6999999996094,8180.750000020996,1053.09999999959,0,3436.6500000037367,13.950000000000063,1898.9999999988206,2461.99999999999,6779.999999993291,13716.150000023932,0.8783873353826469
AMR_12,1085.99999999956,8064.600000020573,1010.7999999996284,0,3405.350000003623,14.300000000000068,2034.0999999986977,2785.999999999521,6199.999999994535,13581.050000023384,0.8697354812537208
AMR_13,1049.799999999593,7893.100000019949,1013.499999999626,0,3376.0500000035163,14.200000000000067,2268.499999999487,2088.000000000414,6715.99999999338,13346.650000022684,0.8547244182794934
AMR_14,1122.199999999527,8017.300000020401,1047.549999999595,0,3298.8000000032353,15.050000000000079,2114.249999998926,2246.0000000003024,6611.999999993629,13500.900000022759,0.8646026455140018
AMR_15,1085.99999999956,7807.750000019639,1006.2499999996326,0,3641.4000000044816,14.600000000000072,2059.1499999987254,2649.9999999995935,6043.999999994814,13556.000000023314,0.8681312699589071
AMR_16,1266.9999999993954,8661.8500000142,1108.2999999995398,0,3240.400000003023,16.900000000000105,1320.6999999993466,2280.000000000218,7515.999999992206,14294.450000016157,0.9154218819605181
AMR_17,1140.2999999995106,8186.400000021016,1050.799999999592,0,3302.6500000032493,15.350000000000083,1919.6499999988018,2268.000000000172,6875.999999993323,13695.500000023369,0.8770649017204227
AMR_18,1085.99999999956,8160.150000020921,1029.7999999996111,0,3510.050000004004,14.800000000000075,1814.3499999988976,2541.9999999998504,6559.999999993904,13800.800000024097,0.8838083527920625
AMR_19,1122.199999999527,8202.75000002088,1047.1499999995954,0,3633.9500000044545,14.950000000000077,1594.1499999990979,2340.0000000001064,6819.999999993162,14021.000000024458,0.8979100424973543
AMR_20,1248.8999999994119,7980.0500000202655,1088.349999999558,0,3701.4500000047,16.6000000000001,1579.799999999111,2102.00000000041,6659.999999993898,14035.350000023935,0.8988290218218922
AMR_21,1085.99999999956,7962.550000020202,1041.6499999996004,0,3546.5500000041366,14.550000000000072,1963.8499999987616,2477.9999999999786,6367.999999994079,13651.300000023497,0.8742343173200092
AMR_22,1049.799999999593,7818.500000019678,1010.8999999996283,0,3912.300000005467,14.000000000000064,1809.6499999989019,2292.000000000193,6331.99999999428,13805.500000024367,0.884109342536016
AMR_23,1067.8999999995765,7689.5000000192085,987.7499999996494,0,3671.500000004591,14.350000000000069,2184.14999999918,2256.000000000215,6231.999999994241,13431.000000023025,0.8601262235776053
AMR_24,959.2999999996753,7603.4500000188955,957.6999999996767,0,4051.600000005974,12.950000000000049,2030.1499999987013,2793.9999999994297,5763.999999994856,13585.000000024222,0.8699884407194229
AMR_25,1176.4999999994777,8074.70000002061,1014.8499999996247,0,3000.1500000021488,15.600000000000087,2333.349999999723,2114.000000000431,6999.999999992812,13281.800000021862,0.850571400216831
AMR_26,1085.99999999956,8063.900000020571,1002.0499999996364,0,3895.500000005406,14.500000000000071,1553.1999999991351,2425.9999999999454,6595.999999993487,14061.950000025172,0.9005324956919084
AMR_27,1122.199999999527,7648.400000019059,985.8499999996511,0,3310.500000003278,14.900000000000077,2533.3000000004504,2000.000000000463,6447.999999993999,13081.850000021515,0.8377665280253079
AMR_28,1140.2999999995106,7956.850000020181,1058.1499999995854,0,3751.750000004883,15.450000000000085,1692.6499999990083,2466.0000000000036,6391.99999999406,13922.50000002416,0.8916020659488839
AMR_29,1031.6999999996094,7771.250000019506,989.8999999996474,0,3585.8000000042794,13.950000000000063,2222.54999999932,2483.999999999855,6211.999999994277,13392.600000023042,0.857667073329276
