robot,handling_service_seconds,translation_seconds,rotation_seconds,safety_blocking_seconds,reservation_path_wait_seconds,other_active_wait_seconds,idle_seconds,empty_distance_m,loaded_distance_m,busy_seconds,utilization
AMR_01,1194.5999999994613,8257.75000002008,1234.0999999994253,0,8879.150000011037,15.900000000000091,1439.4999999992385,2503.9999999997804,6027.999999995369,19581.500000030006,0.9315208601010566
AMR_02,1266.9999999993954,8675.500000014,1269.1999999993934,0,8221.250000020611,16.950000000000106,1571.0999999991188,2441.99999999999,6615.999999994507,19449.9000000334,0.9252604538407625
AMR_03,1212.6999999994448,8084.650000020646,1173.7999999994802,0,8096.3000000206885,16.200000000000095,2437.3500000001013,2262.000000000161,6207.999999995036,18583.650000040263,0.884051662631973
AMR_04,1230.7999999994283,8194.500000021,1269.8999999993928,0,8562.400000015647,16.5500000000001,1746.849999998959,2629.999999999883,5767.999999995889,19274.150000035468,0.9168997669086795
AMR_05,1140.2999999995106,8563.050000015637,1297.4999999993677,0,8464.100000017077,15.400000000000084,1540.6499999991465,2819.9999999996026,6059.999999995213,19480.35000003159,0.9267090052892393
AMR_06,1248.8999999994119,8261.20000002003,1279.3499999993842,0,9064.950000008334,16.750000000000103,1149.849999999502,2356.0000000000286,6039.9999999953625,19871.15000002716,0.9452999381658221
AMR_07,1176.4999999994777,8879.400000011034,1219.2499999994388,0,8522.25000001623,15.650000000000087,1207.9499999994491,2711.9999999994625,6651.999999994074,19813.05000002618,0.942536035401851
AMR_08,1194.5999999994613,8488.850000016717,1215.3499999994424,0,8608.550000014975,16.150000000000095,1497.4999999991858,2324.000000000172,6571.999999994506,19523.500000030595,0.9287617144847744
AMR_09,1303.1999999993625,8205.600000020839,1249.749999999411,0,8524.800000016194,17.35000000000011,1720.2999999989831,2427.9999999999845,6027.999999995424,19300.700000035802,0.9181627896002994
AMR_10,1212.6999999994448,8401.30000001799,1244.4999999994159,0,8057.200000020546,16.300000000000097,2088.999999998834,2903.99999999937,5771.999999995825,18932.000000037395,0.900623186346348
AMR_11,1122.199999999527,7783.45000001955,1177.1499999994771,0,9136.950000007286,15.000000000000078,1786.2499999989232,2298.0000000001264,5655.9999999960655,19234.75000002584,0.9150254507481762
AMR_12,1122.199999999527,8466.900000017036,1245.449999999415,0,8853.650000011408,15.000000000000078,1317.7999999993492,2867.9999999993597,5979.9999999951815,19703.200000027387,0.9373103087475692
AMR_13,1285.099999999379,8423.700000017665,1232.6999999994266,0,8879.150000011037,17.400000000000112,1182.9499999994719,2549.9999999998413,6123.999999995203,19838.050000027506,0.943725322305496
AMR_14,1158.3999999994942,8771.600000012602,1222.449999999436,0,8459.300000017147,15.600000000000087,1393.6499999992802,2873.9999999992247,6419.9999999946385,19627.35000002868,0.9337020122821629
