task_id,date,store_id,workstation,release_time_s,completion_time_s,source_lines,completed_lines,status
2023-01-03/AMPP,2023-01-03,AMPP,WS_13_20,0.0,668.3999999999398,30,30,completed
2023-01-03/APUR,2023-01-03,APUR,WS_25_20,0.0,645.4999999999607,14,14,completed
2023-01-03/BDBU,2023-01-03,BDBU,WS_19_20,0.0,747.0999999998683,14,14,completed
2023-01-03/BDMC,2023-01-03,BDMC,WS_19_20,0.0,1571.999999999118,19,19,completed
2023-01-03/BDPP,2023-01-03,BDPP,WS_2_20,0.0,379.550000000052,7,7,completed
2023-01-03/BDRW,2023-01-03,BDRW,WS_30_20,0.0,730.949999999883,14,14,completed
2023-01-03/BHAU,2023-01-03,BHAU,WS_30_20,0.0,834.8999999997884,3,3,completed
2023-01-03/BIFG,2023-01-03,BIFG,WS_25_20,0.0,697.0499999999138,2,2,completed
2023-01-03/BKIN,2023-01-03,BKIN,WS_8_20,0.0,281.65000000002976,7,7,completed
2023-01-03/BKPS,2023-01-03,BKPS,WS_25_20,0.0,1181.9999999994727,4,4,completed
2023-01-03/BKSD,2023-01-03,BKSD,WS_25_20,0.0,2457.4000000001743,26,26,completed
2023-01-03/BLOS,2023-01-03,BLOS,WS_25_20,0.0,2705.1500000010756,2,2,completed
2023-01-03/BNUT,2023-01-03,BNUT,WS_13_20,0.0,736.9499999998775,1,1,completed
2023-01-03/BSAR,2023-01-03,BSAR,WS_25_20,0.0,2957.650000001994,9,9,completed
2023-01-03/CENT,2023-01-03,CENT,WS_8_20,0.0,1411.7499999992638,58,58,completed
2023-01-03/CTHR,2023-01-03,CTHR,WS_8_20,0.0,2585.2500000006394,19,19,completed
2023-01-03/CTSQ,2023-01-03,CTSQ,WS_13_20,0.0,3076.2500000024256,178,178,completed
2023-01-03/DEPE,2023-01-03,DEPE,WS_13_20,0.0,3542.550000004122,6,6,completed
2023-01-03/DESA,2023-01-03,DESA,WS_19_20,0.0,2055.2499999987112,10,10,completed
2023-01-03/DMHS,2023-01-03,DMHS,WS_8_20,0.0,2849.550000001601,12,12,completed
2023-01-03/DSHA,2023-01-03,DSHA,WS_25_20,0.0,3349.250000003419,7,7,completed
2023-01-03/DSKD,2023-01-03,DSKD,WS_19_20,0.0,2686.600000001008,8,8,completed
2023-01-03/GLPT,2023-01-03,GLPT,WS_30_20,0.0,1227.849999999431,3,3,completed
2023-01-03/HQMW,2023-01-03,HQMW,WS_19_20,0.0,2699.550000001055,1,1,completed
2023-01-03/IPBC,2023-01-03,IPBC,WS_8_20,0.0,3277.1000000031563,3,3,completed
2023-01-03/IPGD,2023-01-03,IPGD,WS_25_20,0.0,3343.1500000033966,3,3,completed
2023-01-03/IPMG,2023-01-03,IPMG,WS_25_20,0.0,3452.350000003794,1,1,completed
2023-01-03/JJNG,2023-01-03,JJNG,WS_19_20,0.0,2818.4000000014876,1,1,completed
2023-01-03/JLTS,2023-01-03,JLTS,WS_25_20,0.0,3500.3000000039683,1,1,completed
2023-01-03/JMNS,2023-01-03,JMNS,WS_2_20,0.0,632.1499999999728,1,1,completed
2023-01-03/KAMP,2023-01-03,KAMP,WS_8_20,0.0,3436.950000003738,2,2,completed
2023-01-03/KBES,2023-01-03,KBES,WS_2_20,0.0,2935.4500000019134,119,119,completed
2023-01-03/KCTJ,2023-01-03,KCTJ,WS_30_20,0.0,1623.0499999990716,11,11,completed
2023-01-03/KELS,2023-01-03,KELS,WS_30_20,0.0,2147.499999999047,5,5,completed
2023-01-03/KIDP,2023-01-03,KIDP,WS_25_20,0.0,3804.6500000050755,4,4,completed
2023-01-03/KJIN,2023-01-03,KJIN,WS_30_20,0.0,2920.250000001858,29,29,completed
2023-01-03/KJRH,2023-01-03,KJRH,WS_2_20,0.0,4412.800000007288,96,96,completed
2023-01-03/KJSC,2023-01-03,KJSC,WS_25_20,0.0,4158.000000006361,9,9,completed
2023-01-03/KLGU,2023-01-03,KLGU,WS_2_20,0.0,5480.750000011173,17,17,completed
2023-01-03/KOLA,2023-01-03,KOLA,WS_19_20,0.0,4743.10000000849,167,167,completed
2023-01-03/KOMA,2023-01-03,KOMA,WS_25_20,0.0,5066.250000009665,26,26,completed
2023-01-03/KPAS,2023-01-03,KPAS,WS_30_20,0.0,5550.250000011426,120,120,completed
2023-01-03/KPBR,2023-01-03,KPBR,WS_2_20,0.0,6789.350000015934,18,18,completed
2023-01-03/KTUN,2023-01-03,KTUN,WS_8_20,0.0,5645.300000011772,146,146,completed
2023-01-03/KULA,2023-01-03,KULA,WS_19_20,0.0,5351.900000010704,11,11,completed
2023-01-03/LARK,2023-01-03,LARK,WS_30_20,0.0,7826.600000019707,107,107,completed
2023-01-03/MMIM,2023-01-03,MMIM,WS_2_20,0.0,8459.550000017143,54,54,completed
2023-01-03/MMJJ,2023-01-03,MMJJ,WS_13_20,0.0,3965.1500000056594,7,7,completed
2023-01-03/MMMR,2023-01-03,MMMR,WS_8_20,0.0,5747.350000012143,3,3,completed
2023-01-03/MMNB,2023-01-03,MMNB,WS_13_20,0.0,4224.6500000066035,2,2,completed
2023-01-03/MMPL,2023-01-03,MMPL,WS_13_20,0.0,7554.350000018717,165,165,completed
2023-01-03/MMSA,2023-01-03,MMSA,WS_2_20,0.0,9128.45000000741,6,6,completed
2023-01-03/MMST,2023-01-03,MMST,WS_8_20,0.0,7362.550000018019,56,56,completed
2023-01-03/MMTI,2023-01-03,MMTI,WS_13_20,0.0,7913.600000020024,3,3,completed
2023-01-03/MMTU,2023-01-03,MMTU,WS_19_20,0.0,7548.250000018695,92,92,completed
2023-01-03/MSAI,2023-01-03,MSAI,WS_30_20,0.0,8570.700000015526,26,26,completed
2023-01-03/MTKB,2023-01-03,MTKB,WS_13_20,0.0,10365.549999989407,127,127,completed
