task_id,date,store_id,workstation,release_time_s,completion_time_s,source_lines,completed_lines,status
2023-01-03/AMPP,2023-01-03,AMPP,WS_13_20,0.0,694.4499999999161,30,30,completed
2023-01-03/APUR,2023-01-03,APUR,WS_25_20,0.0,686.9999999999229,14,14,completed
2023-01-03/BDBU,2023-01-03,BDBU,WS_19_20,0.0,530.0500000000657,14,14,completed
2023-01-03/BDMC,2023-01-03,BDMC,WS_19_20,0.0,885.0499999997428,19,19,completed
2023-01-03/BDPP,2023-01-03,BDPP,WS_2_20,0.0,472.10000000007307,7,7,completed
2023-01-03/BDRW,2023-01-03,BDRW,WS_30_20,0.0,492.70000000007775,14,14,completed
2023-01-03/BHAU,2023-01-03,BHAU,WS_30_20,0.0,599.7500000000023,3,3,completed
2023-01-03/BIFG,2023-01-03,BIFG,WS_25_20,0.0,780.9499999998375,2,2,completed
2023-01-03/BKIN,2023-01-03,BKIN,WS_8_20,0.0,415.1500000000601,7,7,completed
2023-01-03/BKPS,2023-01-03,BKPS,WS_25_20,0.0,969.2999999996662,4,4,completed
2023-01-03/BKSD,2023-01-03,BKSD,WS_25_20,0.0,2031.3999999987002,26,26,completed
2023-01-03/BLOS,2023-01-03,BLOS,WS_25_20,0.0,2415.600000000022,2,2,completed
2023-01-03/BNUT,2023-01-03,BNUT,WS_13_20,0.0,844.14999999978,1,1,completed
2023-01-03/BSAR,2023-01-03,BSAR,WS_25_20,0.0,3009.4000000021824,9,9,completed
2023-01-03/CENT,2023-01-03,CENT,WS_8_20,0.0,1731.1499999989733,58,58,completed
2023-01-03/CTHR,2023-01-03,CTHR,WS_8_20,0.0,2376.6499999998805,19,19,completed
2023-01-03/CTSQ,2023-01-03,CTSQ,WS_13_20,0.0,4993.000000009399,178,178,completed
2023-01-03/DEPE,2023-01-03,DEPE,WS_13_20,0.0,5177.000000010068,6,6,completed
2023-01-03/DESA,2023-01-03,DESA,WS_19_20,0.0,1271.9999999993909,10,10,completed
2023-01-03/DMHS,2023-01-03,DMHS,WS_8_20,0.0,2736.4500000011894,12,12,completed
2023-01-03/DSHA,2023-01-03,DSHA,WS_25_20,0.0,3597.7000000043226,7,7,completed
2023-01-03/DSKD,2023-01-03,DSKD,WS_19_20,0.0,1597.0499999990952,8,8,completed
2023-01-03/GLPT,2023-01-03,GLPT,WS_30_20,0.0,881.549999999746,3,3,completed
2023-01-03/HQMW,2023-01-03,HQMW,WS_19_20,0.0,1650.9999999990462,1,1,completed
2023-01-03/IPBC,2023-01-03,IPBC,WS_8_20,0.0,2870.3500000016766,3,3,completed
2023-01-03/IPGD,2023-01-03,IPGD,WS_25_20,0.0,3808.60000000509,3,3,completed
2023-01-03/IPMG,2023-01-03,IPMG,WS_25_20,0.0,4024.2500000058744,1,1,completed
2023-01-03/JJNG,2023-01-03,JJNG,WS_19_20,0.0,1757.749999998949,1,1,completed
2023-01-03/JLTS,2023-01-03,JLTS,WS_25_20,0.0,4156.650000006356,1,1,completed
2023-01-03/JMNS,2023-01-03,JMNS,WS_2_20,0.0,662.749999999945,1,1,completed
2023-01-03/KAMP,2023-01-03,KAMP,WS_8_20,0.0,3444.650000003766,2,2,completed
2023-01-03/KBES,2023-01-03,KBES,WS_2_20,0.0,3866.100000005299,119,119,completed
2023-01-03/KCTJ,2023-01-03,KCTJ,WS_30_20,0.0,1396.049999999278,11,11,completed
2023-01-03/KELS,2023-01-03,KELS,WS_30_20,0.0,1624.2999999990705,5,5,completed
2023-01-03/KIDP,2023-01-03,KIDP,WS_25_20,0.0,4641.700000008121,4,4,completed
2023-01-03/KJIN,2023-01-03,KJIN,WS_30_20,0.0,2620.1500000007663,29,29,completed
2023-01-03/KJRH,2023-01-03,KJRH,WS_2_20,0.0,6799.650000015971,96,96,completed
2023-01-03/KJSC,2023-01-03,KJSC,WS_25_20,0.0,5377.850000010799,9,9,completed
2023-01-03/KLGU,2023-01-03,KLGU,WS_2_20,0.0,7782.800000019548,17,17,completed
2023-01-03/KOLA,2023-01-03,KOLA,WS_19_20,0.0,5682.650000011908,167,167,completed
2023-01-03/KOMA,2023-01-03,KOMA,WS_25_20,0.0,5842.65000001249,26,26,completed
2023-01-03/KPAS,2023-01-03,KPAS,WS_30_20,0.0,6130.050000013535,120,120,completed
2023-01-03/KPBR,2023-01-03,KPBR,WS_2_20,0.0,8672.000000014052,18,18,completed
2023-01-03/KTUN,2023-01-03,KTUN,WS_8_20,0.0,5931.6500000128135,146,146,completed
2023-01-03/KULA,2023-01-03,KULA,WS_19_20,0.0,6191.200000013758,11,11,completed
2023-01-03/LARK,2023-01-03,LARK,WS_30_20,0.0,9007.900000009164,107,107,completed
2023-01-03/MMIM,2023-01-03,MMIM,WS_2_20,0.0,10497.399999987489,54,54,completed
2023-01-03/MMJJ,2023-01-03,MMJJ,WS_13_20,0.0,5343.000000010672,7,7,completed
2023-01-03/MMMR,2023-01-03,MMMR,WS_8_20,0.0,6271.150000014049,3,3,completed
2023-01-03/MMNB,2023-01-03,MMNB,WS_13_20,0.0,5646.650000011777,2,2,completed
2023-01-03/MMPL,2023-01-03,MMPL,WS_13_20,0.0,9986.399999994925,165,165,completed
