task_id,date,store_id,workstation,release_time_s,completion_time_s,source_lines,completed_lines,status
2023-01-03/AMPP,2023-01-03,AMPP,WS_13_20,0.0,798.9999999998211,30,30,completed
2023-01-03/APUR,2023-01-03,APUR,WS_25_20,0.0,789.2499999998299,14,14,completed
2023-01-03/BDBU,2023-01-03,BDBU,WS_19_20,0.0,527.8500000000677,14,14,completed
2023-01-03/BDMC,2023-01-03,BDMC,WS_19_20,0.0,1139.1499999995117,19,19,completed
2023-01-03/BDPP,2023-01-03,BDPP,WS_2_20,0.0,422.9000000000619,7,7,completed
2023-01-03/BDRW,2023-01-03,BDRW,WS_30_20,0.0,764.5999999998523,14,14,completed
2023-01-03/BHAU,2023-01-03,BHAU,WS_30_20,0.0,993.9499999996438,3,3,completed
2023-01-03/BIFG,2023-01-03,BIFG,WS_25_20,0.0,902.1999999997272,2,2,completed
2023-01-03/BKIN,2023-01-03,BKIN,WS_8_20,0.0,478.8500000000746,7,7,completed
2023-01-03/BKPS,2023-01-03,BKPS,WS_25_20,0.0,1075.09999999957,4,4,completed
2023-01-03/BKSD,2023-01-03,BKSD,WS_25_20,0.0,2023.6999999987072,26,26,completed
2023-01-03/BLOS,2023-01-03,BLOS,WS_25_20,0.0,2208.549999999269,2,2,completed
2023-01-03/BNUT,2023-01-03,BNUT,WS_13_20,0.0,851.3999999997734,1,1,completed
2023-01-03/BSAR,2023-01-03,BSAR,WS_25_20,0.0,2628.000000000795,9,9,completed
2023-01-03/CENT,2023-01-03,CENT,WS_8_20,0.0,1690.74999999901,58,58,completed
2023-01-03/CTHR,2023-01-03,CTHR,WS_8_20,0.0,2412.3500000000104,19,19,completed
2023-01-03/CTSQ,2023-01-03,CTSQ,WS_13_20,0.0,4359.850000007095,178,178,completed
2023-01-03/DEPE,2023-01-03,DEPE,WS_13_20,0.0,4815.700000008754,6,6,completed
2023-01-03/DESA,2023-01-03,DESA,WS_19_20,0.0,1540.5999999991466,10,10,completed
2023-01-03/DMHS,2023-01-03,DMHS,WS_8_20,0.0,2956.200000001989,12,12,completed
2023-01-03/DSHA,2023-01-03,DSHA,WS_25_20,0.0,3026.8000000022457,7,7,completed
2023-01-03/DSKD,2023-01-03,DSKD,WS_19_20,0.0,1940.9999999987824,8,8,completed
2023-01-03/GLPT,2023-01-03,GLPT,WS_30_20,0.0,1212.1499999994453,3,3,completed
2023-01-03/HQMW,2023-01-03,HQMW,WS_19_20,0.0,2024.1999999987067,1,1,completed
2023-01-03/IPBC,2023-01-03,IPBC,WS_8_20,0.0,3084.550000002456,3,3,completed
2023-01-03/IPGD,2023-01-03,IPGD,WS_25_20,0.0,3208.800000002908,3,3,completed
2023-01-03/IPMG,2023-01-03,IPMG,WS_25_20,0.0,3551.850000004156,1,1,completed
2023-01-03/JJNG,2023-01-03,JJNG,WS_19_20,0.0,2115.4499999989303,1,1,completed
2023-01-03/JLTS,2023-01-03,JLTS,WS_25_20,0.0,3977.8000000057054,1,1,completed
2023-01-03/JMNS,2023-01-03,JMNS,WS_2_20,0.0,422.40000000006177,1,1,completed
2023-01-03/KAMP,2023-01-03,KAMP,WS_8_20,0.0,3292.400000003212,2,2,completed
2023-01-03/KBES,2023-01-03,KBES,WS_2_20,0.0,3233.1000000029962,119,119,completed
2023-01-03/KCTJ,2023-01-03,KCTJ,WS_30_20,0.0,1656.8999999990408,11,11,completed
2023-01-03/KELS,2023-01-03,KELS,WS_30_20,0.0,1811.5999999989,5,5,completed
2023-01-03/KIDP,2023-01-03,KIDP,WS_25_20,0.0,4205.400000006533,4,4,completed
2023-01-03/KJIN,2023-01-03,KJIN,WS_30_20,0.0,2969.650000002038,29,29,completed
2023-01-03/KJRH,2023-01-03,KJRH,WS_2_20,0.0,5806.750000012359,96,96,completed
