robot,handling_service_seconds,translation_seconds,rotation_seconds,safety_blocking_seconds,reservation_path_wait_seconds,other_active_wait_seconds,idle_seconds,empty_distance_m,loaded_distance_m,busy_seconds,utilization
AMR_01,1502.2999999991814,11737.74999996944,1550.8999999991372,0,7495.650000018503,20.70000000000016,1572.9499999991172,4365.999999997158,8627.99999999403,22307.299999986262,0.9341317616096928
AMR_02,1447.9999999992308,11571.899999971853,1550.7499999991373,0,7984.600000020282,19.800000000000146,1305.1999999993607,4073.9999999976644,8531.999999994308,22575.049999990504,0.9453439557871643
AMR_03,1466.0999999992143,10939.999999981048,1453.7499999992256,0,8307.650000019354,20.10000000000015,1692.6499999990083,3649.999999998348,8247.99999999222,22187.59999999884,0.9291192512721352
AMR_04,1484.1999999991979,11843.049999967907,1548.999999999139,0,7529.100000018625,20.15000000000015,1454.7499999992247,4231.999999997569,8851.999999995329,22425.499999984873,0.939081458534961
AMR_05,1574.6999999991156,12205.999999962625,1555.9499999991326,0,7145.100000017228,21.700000000000173,1376.7999999992956,4311.999999997265,9155.999999997368,22503.4499999781,0.9423456622176655
AMR_06,1502.2999999991814,12290.549999961395,1613.9999999990798,0,7033.250000016821,20.65000000000016,1419.4999999992567,4791.999999996532,8939.999999995258,22460.749999976477,0.9405575737344213
AMR_07,1665.1999999990333,11943.999999966438,1637.899999999058,0,7433.200000018276,22.75000000000019,1177.199999999477,3813.99999999803,9227.99999999624,22703.049999982803,0.9507040336755203
AMR_08,1429.8999999992473,11752.399999969226,1521.7499999991637,0,8089.950000020665,19.600000000000144,1066.6499999995776,3741.9999999979573,9203.999999997157,22813.5999999883,0.9553333821960113
AMR_09,1538.4999999991485,11928.04999996667,1562.5999999991266,0,7756.400000019452,21.000000000000163,1073.6999999995712,3919.999999997849,9143.999999996957,22806.549999984396,0.9550381591558854
AMR_10,1592.799999999099,12100.799999964156,1629.149999999066,0,7478.900000018442,21.750000000000174,1056.8499999995865,4211.999999997332,9091.999999996093,22823.399999980764,0.9557437631590476
AMR_11,1411.7999999992637,11154.99999997792,1481.7499999992,0,8664.400000014162,19.35000000000014,1147.9499999995037,3955.9999999977954,8179.999999991799,22732.299999990544,0.9519288952246244
AMR_12,1484.1999999991979,12404.749999959733,1566.6999999991228,0,7294.750000017772,20.350000000000154,1109.4999999995387,4235.999999997324,9591.99999999878,22770.749999975826,0.9535390123710368
AMR_13,1484.1999999991979,12011.549999965455,1555.549999999133,0,7569.450000018772,20.300000000000153,1239.1999999994207,4399.999999997144,8791.999999994596,22641.04999998256,0.9481077459481815
AMR_14,1321.299999999346,11010.399999980023,1456.7499999992228,0,8381.050000018286,18.200000000000124,1692.5499999990084,3841.9999999981364,8043.999999991992,22187.69999999688,0.9291234388329036
AMR_15,1574.6999999991156,12309.199999961123,1584.199999999107,0,7306.800000017816,21.600000000000172,1083.749999999562,4017.9999999976035,9575.999999999583,22796.49999997716,0.9546173092901042
AMR_16,1520.399999999165,11859.449999967668,1550.6499999991374,0,7184.400000017371,21.000000000000163,1744.3499999989613,4377.999999997149,8699.999999995202,22135.89999998334,0.926954282311762
AMR_17,1484.1999999991979,11516.349999972661,1487.0999999991952,0,7611.600000018925,20.250000000000153,1760.7499999989464,3907.999999997779,8795.999999995636,22119.49999998998,0.9262675223325533
AMR_18,1447.9999999992308,11670.449999970419,1520.349999999165,0,7517.250000018582,19.900000000000148,1704.2999999989977,4123.9999999975535,8643.999999994536,22175.9499999874,0.9286314004325693
AMR_19,1484.1999999991979,11578.199999971761,1516.3499999991686,0,7938.300000020114,20.200000000000152,1342.9999999993263,3933.9999999978227,8703.999999994905,22537.249999990243,0.9437610577856531
AMR_20,1538.4999999991485,12028.749999965205,1580.74999999911,0,7487.950000018475,20.950000000000163,1223.349999999435,4301.99999999709,8923.999999995702,22656.89999998194,0.9487714743429645
AMR_21,1375.5999999992966,11025.649999979802,1472.6999999992083,0,8482.000000016817,19.000000000000135,1505.2999999991787,4053.9999999978213,7887.999999992255,22374.949999995122,0.9369646465254473
AMR_22,1502.2999999991814,11885.199999967293,1547.6999999991401,0,7783.200000019549,20.550000000000157,1141.2999999995097,4027.999999997568,9011.999999995884,22738.949999985165,0.9522073680209594
AMR_23,1520.399999999165,11822.699999968203,1520.9499999991644,0,7579.450000018808,20.900000000000162,1415.84999999926,4305.999999997152,8787.99999999571,22464.39999998534,0.9407104197058368
AMR_24,1610.8999999990826,12238.199999962157,1603.2499999990896,0,7294.750000017772,21.950000000000177,1111.199999999537,4279.999999997129,9299.999999997792,22769.049999978102,0.9534678238366732
AMR_25,1520.399999999165,12116.749999963924,1588.7999999991027,0,7328.650000017896,20.85000000000016,1304.799999999361,4149.999999997476,9099.999999996993,22575.449999980086,0.9453607060301302
AMR_26,1502.2999999991814,11860.69999996765,1626.2999999990686,0,7836.5500000197435,20.500000000000156,1033.8999999996074,4297.999999997273,8531.999999993575,22846.349999985643,0.9567048083744486
AMR_27,1429.8999999992473,11972.74999996602,1535.0499999991516,0,7771.150000019506,19.500000000000142,1151.8999999995,4401.999999997192,8775.999999995236,22728.349999983922,0.9517634865707512
AMR_28,1520.399999999165,12435.299999959288,1634.9999999990607,0,7200.100000017428,20.80000000000016,1068.6499999995758,4393.99999999713,9291.999999997019,22811.599999974944,0.9552496309784414
AMR_29,1484.1999999991979,11420.649999974054,1498.449999999185,0,8330.500000019021,20.250000000000153,1126.1999999995235,3829.9999999980714,8671.999999994325,22754.04999999146,0.952839689709653
AMR_30,1556.599999999132,11552.14999997214,1612.9499999990808,0,7765.000000019483,21.150000000000166,1372.3999999992996,4281.999999997294,8311.99999999252,22507.849999989838,0.9425299148955804
AMR_31,1375.5999999992966,12063.299999964702,1553.6999999991347,0,7434.450000018281,18.850000000000133,1434.3499999992432,4109.999999997429,9327.999999996875,22445.89999998141,0.9399357209483242
AMR_32,1628.9999999990662,12314.89999996104,1653.9499999990435,0,6922.3000000164175,22.450000000000184,1337.6499999993312,4273.999999997258,9255.999999997184,22542.59999997557,0.9439850922905421
AMR_33,1520.399999999165,11838.349999967975,1553.449999999135,0,7491.90000001849,20.900000000000162,1455.2499999992242,3835.9999999979477,9087.999999996478,22424.999999984764,0.9390605207307038
AMR_34,1411.7999999992637,10941.649999981024,1512.4499999991722,0,8708.750000013517,19.40000000000014,1286.199999999378,3665.9999999983083,8119.99999999191,22594.04999999298,0.9461395923488688
AMR_35,1466.0999999992143,11870.099999967513,1511.499999999173,0,7736.60000001938,20.05000000000015,1275.8999999993873,4537.99999999691,8671.999999993792,22604.34999998528,0.9465709111161509
AMR_36,1502.2999999991814,12260.149999961837,1584.8999999991063,0,7347.600000017965,20.600000000000158,1164.6999999994885,4941.999999996269,8551.999999993957,22715.549999978088,0.951227478781639
AMR_37,1393.6999999992802,12088.399999964337,1519.0999999991661,0,7830.700000019722,19.150000000000137,1029.1999999996117,4529.999999996791,9007.999999996611,22851.049999982504,0.956901623734292
AMR_38,1574.6999999991156,12116.499999963928,1579.599999999111,0,7012.700000016746,21.650000000000173,1575.0999999991152,4139.999999997616,9175.99999999647,22305.1499999789,0.9340417290510982
AMR_39,1393.6999999992802,11586.44999997164,1500.6999999991829,0,7439.6500000183,19.050000000000136,1940.6999999987827,4285.999999997522,8415.999999993255,21939.5499999884,0.9187320065819585
AMR_40,1411.7999999992637,11944.749999966427,1532.5999999991539,0,7704.650000019264,19.150000000000137,1267.2999999993951,4193.99999999741,9119.999999996247,22612.94999998411,0.9469310413492474
