layout,date,baseline_layout,throughput_lines_per_hour,baseline_lines_per_hour,difference_lines_per_hour,improvement_percent
map1_basic,2023-01-03,map1_basic,776.5124798469379,776.5124798469379,0.0,0.0
map1_pure_affinity,2023-01-03,map1_basic,800.461228024059,776.5124798469379,23.948748177121047,3.0841420838261024
map1_traffic_zone_balance_off,2023-01-03,map1_basic,690.8856679255317,776.5124798469379,-85.62681192140622,-11.027100548117986
map1_traffic_zone_balance_on,2023-01-03,map1_basic,735.506883830143,776.5124798469379,-41.005596016794925,-5.280738826615861
map1_basic,2023-02-03,map1_basic,852.0699627136718,852.0699627136718,0.0,0.0
map1_pure_affinity,2023-02-03,map1_basic,944.5679525143099,852.0699627136718,92.49798980063815,10.85568014932139
map1_traffic_zone_balance_off,2023-02-03,map1_basic,723.9876996888156,852.0699627136718,-128.08226302485616,-15.031895106000437
map1_traffic_zone_balance_on,2023-02-03,map1_basic,728.5853372620054,852.0699627136718,-123.48462545166637,-14.49231059130316
map1_basic,2023-03-03,map1_basic,784.7010132786254,784.7010132786254,0.0,0.0
map1_pure_affinity,2023-03-03,map1_basic,698.0795111235212,784.7010132786254,-86.62150215510417,-11.038790659028663
map1_traffic_zone_balance_off,2023-03-03,map1_basic,659.8172374472242,784.7010132786254,-124.88377583140118,-15.91482280743003
map1_traffic_zone_balance_on,2023-03-03,map1_basic,695.5143138501381,784.7010132786254,-89.18669942848726,-11.365691890195073
