layout,date,baseline_layout,throughput_lines_per_hour,baseline_lines_per_hour,difference_lines_per_hour,improvement_percent
regenerated_check_basic_zone_on,2023-01-03,regenerated_check_basic_zone_on,940.9656200737124,940.9656200737124,0.0,0.0
regenerated_check_basic_zone_off,2023-01-03,regenerated_check_basic_zone_on,776.5124798469379,940.9656200737124,-164.4531402267745,-17.47706151197019
regenerated_check_affinity_zone_on,2023-01-03,regenerated_check_basic_zone_on,1014.1338884660171,940.9656200737124,73.16826839230464,7.775870534629403
regenerated_check_affinity_zone_off,2023-01-03,regenerated_check_basic_zone_on,824.6723248152861,940.9656200737124,-116.29329525842638,-12.3589313761874
regenerated_check_traffic_zone_off,2023-01-03,regenerated_check_basic_zone_on,619.5172013790326,940.9656200737124,-321.44841869467984,-34.16154765245286
regenerated_check_traffic_zone_on,2023-01-03,regenerated_check_basic_zone_on,715.0455644458049,940.9656200737124,-225.92005562790757,-24.009384701027614
regenerated_check_traffic_zone_off_minrack,2023-01-03,regenerated_check_basic_zone_on,700.4181567518078,940.9656200737124,-240.54746332190462,-25.563895023397443
regenerated_check_traffic_zone_on_minrack,2023-01-03,regenerated_check_basic_zone_on,737.4232440980005,940.9656200737124,-203.54237597571193,-21.63122346167834
regenerated_check_basic_zone_on,2023-02-03,regenerated_check_basic_zone_on,1042.830941855584,1042.830941855584,0.0,0.0
regenerated_check_basic_zone_off,2023-02-03,regenerated_check_basic_zone_on,852.0699627136718,1042.830941855584,-190.76097914191212,-18.292608272868982
regenerated_check_affinity_zone_on,2023-02-03,regenerated_check_basic_zone_on,1111.6059021462047,1042.830941855584,68.77496029062081,6.595024900991575
regenerated_check_affinity_zone_off,2023-02-03,regenerated_check_basic_zone_on,917.2760295090411,1042.830941855584,-125.55491234654278,-12.039814634108758
regenerated_check_traffic_zone_off,2023-02-03,regenerated_check_basic_zone_on,656.6861107030644,1042.830941855584,-386.1448311525195,-37.02851686251506
regenerated_check_traffic_zone_on,2023-02-03,regenerated_check_basic_zone_on,746.306813313853,1042.830941855584,-296.5241285417309,-28.434534941407108
regenerated_check_traffic_zone_off_minrack,2023-02-03,regenerated_check_basic_zone_on,725.2340500092316,1042.830941855584,-317.59689184635226,-30.455261643965926
regenerated_check_traffic_zone_on_minrack,2023-02-03,regenerated_check_basic_zone_on,780.0805690561846,1042.830941855584,-262.7503727993993,-25.195874254734786
regenerated_check_basic_zone_on,2023-03-03,regenerated_check_basic_zone_on,869.5367973873667,869.5367973873667,0.0,0.0
regenerated_check_basic_zone_off,2023-03-03,regenerated_check_basic_zone_on,784.7010132786254,869.5367973873667,-84.83578410874134,-9.756434042083228
regenerated_check_affinity_zone_on,2023-03-03,regenerated_check_basic_zone_on,925.4747945190474,869.5367973873667,55.93799713168062,6.43307992252351
regenerated_check_affinity_zone_off,2023-03-03,regenerated_check_basic_zone_on,790.8124006764193,869.5367973873667,-78.72439671094742,-9.05360152065845
regenerated_check_traffic_zone_off,2023-03-03,regenerated_check_basic_zone_on,637.2309089035731,869.5367973873667,-232.30588848379364,-26.716050336430385
regenerated_check_traffic_zone_on,2023-03-03,regenerated_check_basic_zone_on,701.1670389661238,869.5367973873667,-168.36975842124298,-19.363155064527593
regenerated_check_traffic_zone_off_minrack,2023-03-03,regenerated_check_basic_zone_on,719.1775446734496,869.5367973873667,-150.35925271391716,-17.291879212667084
regenerated_check_traffic_zone_on_minrack,2023-03-03,regenerated_check_basic_zone_on,721.2356394144873,869.5367973873667,-148.30115797287942,-17.055190581752143
