robot,handling_service_seconds,translation_seconds,rotation_seconds,safety_blocking_seconds,reservation_path_wait_seconds,other_active_wait_seconds,idle_seconds,empty_distance_m,loaded_distance_m,busy_seconds,utilization
AMR_01,1104.0999999995436,6249.50000001397,873.0499999997537,0,5756.250000012175,13.850000000000062,1155.4499999994969,1084.0000000001648,5519.999999995817,13996.750000025442,0.9237437467892168
AMR_02,959.2999999996753,5953.700000012894,907.8499999997221,0,5585.700000011555,12.650000000000045,1732.9999999989716,1698.000000000364,4483.99999999733,13419.200000023846,0.8856271696581959
AMR_03,904.9999999997247,5833.600000012457,806.4499999998143,0,5427.65000001098,11.400000000000027,2168.099999999122,1430.0000000002628,4827.999999996516,12984.100000022974,0.8569118675896398
AMR_04,814.499999999807,5214.100000010203,771.1499999998464,0,5931.750000012814,10.90000000000002,2409.800000000001,1364.0000000002426,3971.99999999825,12742.400000022672,0.8409603885963858
AMR_05,832.5999999997905,5260.4000000103715,789.14999999983,0,6637.500000015381,10.650000000000016,1621.8999999990726,1042.000000000117,4279.999999997931,13530.300000025372,0.8929594382397955
AMR_06,850.699999999774,5619.000000011676,822.6999999997995,0,5730.7000000120825,11.300000000000026,2117.799999998939,1488.000000000284,4375.999999997348,13034.400000023332,0.8602315175415031
AMR_07,723.9999999998893,5322.650000010598,764.3999999998525,0,5772.200000012233,9.750000000000004,2559.2000000005446,1886.0000000003693,3671.9999999981956,12593.000000022574,0.8311004342662628
AMR_08,923.0999999997082,5750.850000012156,826.2499999997963,0,5657.500000011816,12.400000000000041,1982.099999998745,1486.0000000002956,4539.999999997259,13170.100000023476,0.8691873127396171
AMR_09,886.8999999997411,5579.900000011534,829.6499999997932,0,6569.000000015132,11.750000000000032,1274.9999999993881,1254.0000000001894,4531.999999997171,13877.200000026201,0.9158538034146656
AMR_10,760.1999999998563,5829.900000012443,795.0999999998246,0,6042.200000013216,10.15000000000001,1714.6499999989883,1248.000000000221,4891.999999996508,13437.55000002534,0.8868382149190551
AMR_11,886.8999999997411,5810.450000012373,850.2999999997744,0,5768.45000001222,11.850000000000033,1824.2499999988886,1908.0000000004322,4175.999999997658,13327.950000024108,0.8796049418628776
AMR_12,868.7999999997576,5939.100000012841,873.3999999997534,0,6006.800000013087,11.450000000000028,1452.6499999992266,1716.0000000003517,4527.999999997299,13699.55000002544,0.9041294333560799
AMR_13,796.3999999998234,5438.150000011018,810.3499999998107,0,6466.65000001476,10.550000000000015,1630.0999999990652,1260.000000000179,4335.9999999975535,13522.10000002541,0.8924182627009295
AMR_14,832.5999999997905,5724.150000012059,861.6499999997641,0,5584.7500000115515,11.350000000000026,2137.699999999011,1924.0000000004648,4091.9999999981055,13014.500000023165,0.8589181769044819
AMR_15,868.7999999997576,5885.150000012644,871.4999999997551,0,6331.500000014268,11.050000000000022,1184.1999999994707,1270.0000000002099,4823.999999996894,13968.000000026424,0.921846332552395
AMR_16,850.699999999774,5734.700000012097,840.899999999783,0,5571.750000011504,11.250000000000025,2142.89999999903,1602.0000000002885,4351.999999997745,13009.300000023159,0.8585749924164185
AMR_17,814.499999999807,5666.70000001185,793.1999999998263,0,6765.700000015848,10.350000000000012,1101.7499999995457,1154.0000000001535,4691.999999997163,14050.450000027331,0.9272877865987608
AMR_18,904.9999999997247,5827.550000012435,863.4499999997624,0,6260.60000001401,11.800000000000033,1283.7999999993801,1704.0000000003356,4239.999999997759,13868.400000025931,0.9152730296656182
AMR_19,868.7999999997576,5743.85000001213,892.2499999997362,0,6213.650000013839,11.250000000000025,1422.399999999254,1672.0000000003142,4291.999999997784,13729.800000025463,0.9061258431183707
AMR_20,886.8999999997411,5796.800000012323,838.9999999997847,0,6148.100000013601,11.700000000000031,1469.699999999211,1658.0000000003224,4359.999999997697,13682.500000025451,0.9030041842173357
AMR_21,868.7999999997576,5636.65000001174,817.799999999804,0,6049.900000013244,11.400000000000027,1767.64999999894,1176.0000000001544,4659.999999996983,13384.550000024545,0.8833403730214379
AMR_22,850.699999999774,6131.100000013539,908.2999999997216,0,5997.200000013052,10.85000000000002,1254.0499999994072,1532.000000000286,4891.999999996852,13898.150000026088,0.9172364409194502
AMR_23,742.0999999998728,5461.400000011103,804.599999999816,0,6810.050000016009,9.850000000000005,1324.1999999993434,1308.000000000194,4315.999999997511,13828.000000026801,0.9126067501814942
AMR_24,723.9999999998893,5128.250000009891,775.6999999998422,0,6150.950000013611,9.650000000000002,2363.649999999833,1430.0000000002497,3919.9999999981105,12788.550000023233,0.8440061509279816
