task_id,date,store_id,workstation,release_time_s,completion_time_s,source_lines,completed_lines,status
2023-03-03/ALMA,2023-03-03,ALMA,WS_2_20,0.0,1686.7999999990136,35,35,completed
2023-03-03/AMPP,2023-03-03,AMPP,WS_13_20,0.0,3270.200000003131,159,159,completed
2023-03-03/APUR,2023-03-03,APUR,WS_25_20,0.0,261.45000000002517,2,2,completed
2023-03-03/AUST,2023-03-03,AUST,WS_8_20,0.0,240.20000000002037,1,1,completed
2023-03-03/BAMP,2023-03-03,BAMP,WS_19_20,0.0,1658.6999999990392,71,71,completed
2023-03-03/BANT,2023-03-03,BANT,WS_30_20,0.0,1550.149999999138,29,29,completed
2023-03-03/BDBU,2023-03-03,BDBU,WS_19_20,0.0,2119.449999998945,1,1,completed
2023-03-03/BDMC,2023-03-03,BDMC,WS_19_20,0.0,4790.250000008661,118,118,completed
2023-03-03/BDPP,2023-03-03,BDPP,WS_2_20,0.0,3997.0500000057755,94,94,completed
2023-03-03/BDRW,2023-03-03,BDRW,WS_30_20,0.0,2456.9500000001726,3,3,completed
2023-03-03/BHAU,2023-03-03,BHAU,WS_30_20,0.0,4652.850000008161,97,97,completed
2023-03-03/BKAG,2023-03-03,BKAG,WS_13_20,0.0,3390.4500000035687,4,4,completed
2023-03-03/BKSD,2023-03-03,BKSD,WS_25_20,0.0,3248.6000000030526,109,109,completed
2023-03-03/BKTM,2023-03-03,BKTM,WS_13_20,0.0,3531.1000000040804,1,1,completed
2023-03-03/BLOS,2023-03-03,BLOS,WS_25_20,0.0,5514.450000011296,84,84,completed
2023-03-03/BLWE,2023-03-03,BLWE,WS_2_20,0.0,7689.750000019209,212,212,completed
2023-03-03/BPUU,2023-03-03,BPUU,WS_13_20,0.0,4625.250000008061,28,28,completed
2023-03-03/BURM,2023-03-03,BURM,WS_25_20,0.0,7748.650000019424,108,108,completed
2023-03-03/CENT,2023-03-03,CENT,WS_8_20,0.0,2682.8000000009943,43,43,completed
2023-03-03/CTHR,2023-03-03,CTHR,WS_8_20,0.0,2841.550000001572,2,2,completed
2023-03-03/CTSQ,2023-03-03,CTSQ,WS_13_20,0.0,4808.200000008726,11,11,completed
2023-03-03/DEPE,2023-03-03,DEPE,WS_13_20,0.0,4805.400000008716,1,1,completed
2023-03-03/DMHS,2023-03-03,DMHS,WS_8_20,0.0,2971.4500000020444,3,3,completed
2023-03-03/DSET,2023-03-03,DSET,WS_8_20,0.0,5216.00000001021,101,101,completed
2023-03-03/DSHA,2023-03-03,DSHA,WS_25_20,0.0,8174.000000020971,1,1,completed
2023-03-03/IPMG,2023-03-03,IPMG,WS_25_20,0.0,11839.39999996796,196,196,completed
2023-03-03/JETG,2023-03-03,JETG,WS_19_20,0.0,7717.050000019309,206,206,completed
2023-03-03/JHJY,2023-03-03,JHJY,WS_30_20,0.0,4722.600000008415,1,1,completed
2023-03-03/JJNG,2023-03-03,JJNG,WS_19_20,0.0,7860.600000019831,2,2,completed
2023-03-03/JKTP,2023-03-03,JKTP,WS_8_20,0.0,5292.050000010487,1,1,completed
2023-03-03/JLTS,2023-03-03,JLTS,WS_25_20,0.0,12115.049999963949,7,7,completed
2023-03-03/KBES,2023-03-03,KBES,WS_2_20,0.0,7800.600000019613,1,1,completed
2023-03-03/KCHS,2023-03-03,KCHS,WS_8_20,0.0,5308.850000010548,1,1,completed
2023-03-03/KELS,2023-03-03,KELS,WS_30_20,0.0,4875.900000008973,2,2,completed
