task_id,date,store_id,workstation,release_time_s,completion_time_s,source_lines,completed_lines,status
2023-01-03/AMPP,2023-01-03,AMPP,WS_13_20,0.0,852.6999999997722,30,30,completed
2023-01-03/APUR,2023-01-03,APUR,WS_25_20,0.0,696.0999999999146,14,14,completed
2023-01-03/BDBU,2023-01-03,BDBU,WS_19_20,0.0,586.2000000000146,14,14,completed
2023-01-03/BDMC,2023-01-03,BDMC,WS_19_20,0.0,1275.099999999388,19,19,completed
2023-01-03/BDPP,2023-01-03,BDPP,WS_2_20,0.0,384.90000000005324,7,7,completed
2023-01-03/BDRW,2023-01-03,BDRW,WS_30_20,0.0,862.799999999763,14,14,completed
2023-01-03/BHAU,2023-01-03,BHAU,WS_30_20,0.0,1150.0499999995018,3,3,completed
2023-01-03/BIFG,2023-01-03,BIFG,WS_25_20,0.0,998.8999999996392,2,2,completed
2023-01-03/BKIN,2023-01-03,BKIN,WS_8_20,0.0,403.1500000000574,7,7,completed
2023-01-03/BKPS,2023-01-03,BKPS,WS_25_20,0.0,1141.7499999995093,4,4,completed
2023-01-03/BKSD,2023-01-03,BKSD,WS_25_20,0.0,1764.8499999989426,26,26,completed
2023-01-03/BLOS,2023-01-03,BLOS,WS_25_20,0.0,1885.7499999988327,2,2,completed
2023-01-03/BNUT,2023-01-03,BNUT,WS_13_20,0.0,956.3999999996779,1,1,completed
2023-01-03/BSAR,2023-01-03,BSAR,WS_25_20,0.0,2195.599999999222,9,9,completed
2023-01-03/CENT,2023-01-03,CENT,WS_8_20,0.0,1376.9999999992954,58,58,completed
2023-01-03/CTHR,2023-01-03,CTHR,WS_8_20,0.0,1906.6999999988136,19,19,completed
2023-01-03/CTSQ,2023-01-03,CTSQ,WS_13_20,0.0,2707.4000000010838,178,178,completed
2023-01-03/DEPE,2023-01-03,DEPE,WS_13_20,0.0,2953.70000000198,6,6,completed
2023-01-03/DESA,2023-01-03,DESA,WS_19_20,0.0,1567.549999999122,10,10,completed
2023-01-03/DMHS,2023-01-03,DMHS,WS_8_20,0.0,2343.49999999976,12,12,completed
2023-01-03/DSHA,2023-01-03,DSHA,WS_25_20,0.0,2686.800000001009,7,7,completed
2023-01-03/DSKD,2023-01-03,DSKD,WS_19_20,0.0,1877.64999999884,8,8,completed
2023-01-03/GLPT,2023-01-03,GLPT,WS_30_20,0.0,1346.549999999323,3,3,completed
2023-01-03/HQMW,2023-01-03,HQMW,WS_19_20,0.0,1972.8999999987534,1,1,completed
2023-01-03/IPBC,2023-01-03,IPBC,WS_8_20,0.0,2429.350000000072,3,3,completed
2023-01-03/IPGD,2023-01-03,IPGD,WS_25_20,0.0,2811.8500000014637,3,3,completed
2023-01-03/IPMG,2023-01-03,IPMG,WS_25_20,0.0,3000.45000000215,1,1,completed
2023-01-03/JJNG,2023-01-03,JJNG,WS_19_20,0.0,2143.3499999990318,1,1,completed
2023-01-03/JLTS,2023-01-03,JLTS,WS_25_20,0.0,3029.850000002257,1,1,completed
2023-01-03/JMNS,2023-01-03,JMNS,WS_2_20,0.0,677.5499999999315,1,1,completed
2023-01-03/KAMP,2023-01-03,KAMP,WS_8_20,0.0,2505.5500000003494,2,2,completed
2023-01-03/KBES,2023-01-03,KBES,WS_2_20,0.0,1957.899999998767,119,119,completed
2023-01-03/KCTJ,2023-01-03,KCTJ,WS_30_20,0.0,1717.7499999989855,11,11,completed
2023-01-03/KELS,2023-01-03,KELS,WS_30_20,0.0,1876.2499999988413,5,5,completed
2023-01-03/KIDP,2023-01-03,KIDP,WS_25_20,0.0,3160.5500000027323,4,4,completed
2023-01-03/KJIN,2023-01-03,KJIN,WS_30_20,0.0,2812.200000001465,29,29,completed
2023-01-03/KJRH,2023-01-03,KJRH,WS_2_20,0.0,4235.000000006641,96,96,completed
2023-01-03/KJSC,2023-01-03,KJSC,WS_25_20,0.0,3554.700000004166,9,9,completed
