robot,handling_service_seconds,translation_seconds,rotation_seconds,safety_blocking_seconds,reservation_path_wait_seconds,other_active_wait_seconds,idle_seconds,empty_distance_m,loaded_distance_m,busy_seconds,utilization
AMR_01,1013.5999999996259,7887.85000001993,1017.7499999996221,0,4984.950000009369,13.650000000000059,734.14999999988,2194.000000000272,6471.999999994209,14917.800000028548,0.9530953012316014
AMR_02,1049.799999999593,8002.100000020346,1031.6499999996095,0,4624.550000008058,14.250000000000068,929.5999999997023,2711.9999999994234,6123.999999994622,14722.350000027607,0.9406080392609182
AMR_03,1194.5999999994613,8199.35000002093,1071.3499999995734,0,4325.700000006971,16.050000000000093,844.8999999997793,2545.9999999997713,6415.999999994315,14807.050000026935,0.9460195055638263
AMR_04,1140.2999999995106,8123.900000020789,1087.2999999995588,0,4488.500000007563,15.300000000000082,796.6499999998232,2346.000000000179,6371.999999994458,14855.30000002742,0.9491021885522561
AMR_05,1085.99999999956,8483.900000016789,1053.1999999995899,0,4286.90000000683,14.40000000000007,727.549999999886,2370.0000000001046,7175.999999992639,14924.400000022768,0.9535169739301633
AMR_06,977.3999999996588,7875.450000019885,952.999999999681,0,4712.450000008378,13.05000000000005,1120.5999999995286,2318.0000000001555,6319.999999994591,14531.350000027604,0.9284050869130592
AMR_07,1013.5999999996259,7763.050000019476,1004.0999999996345,0,4761.350000008556,13.70000000000006,1096.1499999995508,2459.9999999999527,6047.999999994814,14555.800000027295,0.9299671925931712
AMR_08,995.4999999996423,7715.400000019303,981.9499999996547,0,4908.950000009093,13.400000000000055,1036.7499999996048,2477.999999999925,5995.999999995124,14615.200000027691,0.9337622468835777
AMR_09,1158.3999999994942,7961.850000020199,1088.5499999995577,0,4348.950000007056,15.600000000000087,1078.5999999995668,2350.000000000009,6287.999999994517,14573.350000026307,0.9310884586334479
AMR_10,1158.3999999994942,8194.150000021005,1071.5499999995732,0,4341.85000000703,15.700000000000088,870.2999999997562,2477.9999999999727,6519.999999993973,14781.650000027104,0.9443967045709805
AMR_11,1049.799999999593,8100.850000020705,1029.5499999996114,0,4398.400000007236,14.000000000000064,1059.3499999995843,2549.9999999998195,6407.99999999402,14592.600000027145,0.9323183373387176
AMR_12,1085.99999999956,7604.150000018898,1028.1499999996126,0,4779.750000008623,14.650000000000073,1139.2499999995116,2413.9999999999636,5723.999999995625,14512.700000026694,0.927213542089506
AMR_13,1067.8999999995765,7887.500000019929,983.749999999653,0,4884.950000009006,14.350000000000069,813.4999999998079,2551.9999999997804,6131.999999994561,14838.450000028164,0.9480256453739716
AMR_14,1067.8999999995765,7865.1500000198475,999.4499999996387,0,4500.3500000076065,14.250000000000068,1204.849999999452,2571.9999999997785,6075.999999994895,14447.100000026669,0.9230223710213393
AMR_15,1104.0999999995436,8246.600000020242,1077.349999999568,0,4295.500000006861,14.850000000000076,913.5499999997169,2731.9999999995543,6375.999999994244,14738.400000026215,0.9416334705968666
AMR_16,1013.5999999996259,7911.450000020016,999.9999999996382,0,4893.400000009036,13.650000000000059,819.8499999998021,2384.0000000000164,6327.999999994475,14832.100000028317,0.9476199451257672
AMR_17,1067.8999999995765,7949.000000020153,1037.4999999996041,0,4874.850000008969,14.150000000000066,708.5499999999033,2246.000000000195,6435.999999994236,14943.4000000283,0.9547308801850157
AMR_18,959.2999999996753,7768.400000019496,990.8499999996466,0,4654.250000008166,12.650000000000045,1266.4999999993959,2186.0000000003456,6347.999999994431,14385.450000026985,0.9190835646745245
AMR_19,1031.6999999996094,7904.35000001999,997.9999999996401,0,4787.25000000865,13.800000000000061,916.8499999997139,2515.99999999987,6111.999999994893,14735.100000027887,0.9414226342475078
AMR_20,1013.5999999996259,7799.650000019609,998.8999999996392,0,4797.150000008686,13.650000000000059,1028.9999999996119,2573.999999999724,5915.999999995179,14622.95000002756,0.9342573928557992
AMR_21,1049.799999999593,8189.150000021026,1031.5999999996095,0,4482.800000007543,13.900000000000063,884.6999999997431,2312.0000000001323,6739.999999993574,14767.25000002777,0.9434766914097185
AMR_22,1104.0999999995436,8585.700000015308,1128.0999999995217,0,4297.750000006869,14.900000000000077,521.4000000000735,2859.999999999546,6643.999999993928,15130.550000021243,0.9666878567913805
AMR_23,1085.99999999956,8405.050000017936,1114.1999999995344,0,4232.200000006631,14.650000000000073,799.8499999998203,2943.999999999266,6291.999999994374,14852.100000023662,0.9488977411828372
AMR_24,1140.2999999995106,8078.850000020625,1058.499999999585,0,4409.450000007276,15.300000000000082,949.5499999996841,2210.000000000299,6679.999999993624,14702.400000026995,0.9393334376936552
AMR_25,1104.0999999995436,8197.450000020957,1069.649999999575,0,4373.750000007146,14.850000000000076,892.1499999997363,2763.9999999995325,6235.999999994462,14759.80000002722,0.943000712378314
AMR_26,1140.2999999995106,8027.350000020438,1044.6499999995976,0,4247.000000006685,15.300000000000082,1177.349999999477,2725.999999999572,6099.999999994589,14474.60000002623,0.9247793406001915
AMR_27,1104.0999999995436,8144.400000020863,1089.1499999995572,0,4179.65000000644,14.850000000000076,1119.7999999995293,2727.9999999996003,6139.999999994756,14532.150000026404,0.9284561987552773
AMR_28,1013.5999999996259,7725.300000019339,1008.9499999996301,0,5211.850000010195,13.650000000000059,678.5999999999306,3039.9999999991833,5387.999999995859,14973.350000028788,0.9566443797809546
AMR_29,1122.199999999527,8471.650000016967,1072.3999999995724,0,4367.400000007123,15.350000000000083,602.9499999999994,2737.9999999994457,6571.999999993863,15049.00000002319,0.9614776433675892
AMR_30,1122.199999999527,8071.3000000205975,1067.8499999995765,0,4229.25000000662,15.10000000000008,1146.2499999995052,2663.999999999544,6259.999999994586,14505.700000026323,0.9267663134694037
AMR_31,1176.4999999994777,7913.600000020024,1095.7999999995511,0,4425.350000007334,15.750000000000089,1024.9499999996156,2445.999999999909,6139.999999994707,14627.000000026386,0.934516146557341
AMR_32,1031.6999999996094,7943.400000020132,995.2499999996426,0,4866.150000008937,13.850000000000062,801.5999999998187,2246.000000000267,6467.9999999941865,14850.350000028322,0.9487859340281153
AMR_33,1104.0999999995436,8151.200000020888,1033.0499999996082,0,4182.750000006451,14.800000000000075,1166.0499999994872,2449.999999999938,6499.99999999396,14485.90000002649,0.9255012953726206
AMR_34,1067.8999999995765,8268.800000019919,1096.99999999955,0,4740.200000008479,14.250000000000068,463.8000000000712,2955.999999999259,6171.999999994322,15188.150000027525,0.9703679094369999
AMR_35,1067.8999999995765,7990.700000020304,1029.0499999996118,0,4580.550000007898,14.300000000000068,969.449999999666,2627.9999999996385,6151.999999994845,14682.50000002739,0.9380620306165998
AMR_36,1013.5999999996259,7878.400000019896,1022.5999999996177,0,4453.850000007437,13.350000000000055,1270.1499999993925,2905.999999999263,5807.999999995274,14381.800000026577,0.9188503668940288
AMR_37,1085.99999999956,7964.150000020208,1062.4999999995814,0,4532.900000007725,14.650000000000073,991.7499999996458,2851.9999999993606,5899.999999995225,14660.200000027075,0.936637288012615
AMR_38,1049.799999999593,7770.750000019504,1049.4499999995933,0,4495.9500000075905,14.150000000000066,1271.849999999391,2759.9999999996303,5703.999999995398,14380.100000026281,0.9187417542291337
AMR_39,995.4999999996423,7976.950000020254,974.8499999996611,0,4759.80000000855,13.150000000000052,931.6999999997004,2066.0000000004907,6759.9999999937545,14720.250000028107,0.9404738706749266
AMR_40,1067.8999999995765,7891.650000019944,1053.2499999995898,0,4343.300000007035,14.500000000000071,1281.3499999993824,2545.999999999826,6075.999999994796,14370.600000026145,0.9181348011018755
