job_id,task_id,store_id,robot,rack_id,workstation,covered_skus,covered_lines,dispatch_time_s,completion_time_s,station_release_time_s,to_pickup_time_s,pickup_wait_time_s,to_dropoff_entry_time_s,to_workstation_time_s,dropoff_wait_time_s,to_ingestor_exit_time_s,to_return_time_s,return_wait_time_s,idle_time_s,handling_service_seconds,translation_seconds,rotation_seconds,safety_blocking_seconds,reservation_path_wait_seconds,other_active_wait_seconds,idle_seconds,empty_distance_m,loaded_distance_m
J000001,2023-03-03/AMPP,AMPP,AMR_24,G9_12,WS_13_20,"[""101117"", ""101337"", ""107172"", ""110577"", ""112284""]",6,0.05,98.14999999999657,65.49999999999842,0.05,6.8999999999999835,10.95000000000002,55.39999999999899,55.44999999999899,65.44999999999843,65.49999999999842,94.0999999999968,98.14999999999657,18.100000000000122,57.34999999999888,11.500000000000028,0,10.90000000000002,0.25,0,4.0,56.00000000000027
J000002,2023-03-03/BAMP,BAMP,AMR_01,G17_9,WS_19_20,"[""110141"", ""110143"", ""110225"", ""111307""]",7,0.05,126.04999999999498,66.99999999999834,0.05,4.3499999999999925,8.399999999999984,56.899999999998904,56.9499999999989,66.94999999999834,66.99999999999834,121.99999999999521,126.04999999999498,18.100000000000122,67.6999999999983,9.5,0,30.450000000000298,0.25,0,2.0,68.00000000000051
J000003,2023-03-03/APUR,APUR,AMR_03,G23_7,WS_25_20,"[""110569""]",2,0.05,127.24999999999491,77.49999999999774,0.05,21.700000000000173,25.75000000000023,67.39999999999831,67.44999999999831,77.44999999999774,77.49999999999774,123.19999999999514,127.24999999999491,18.100000000000122,83.5499999999974,13.350000000000055,0,11.950000000000035,0.25,0,16.0,76.00000000000063
J000004,2023-03-03/ALMA,ALMA,AMR_09,G8_8,WS_2_20,"[""101296"", ""109843""]",2,0.05,177.050000000006,105.44999999999615,0.05,52.94999999999913,56.9999999999989,95.34999999999673,95.39999999999672,105.39999999999615,105.44999999999615,173.0000000000051,177.050000000006,18.100000000000122,109.19999999999594,15.300000000000082,0,34.1500000000002,0.25,0,50.000000000000426,76.00000000000105
J000005,2023-03-03/BANT,BANT,AMR_02,G29_12,WS_30_20,"[""101181"", ""110163""]",2,0.05,110.89999999999584,79.74999999999761,0.05,28.950000000000276,33.00000000000026,69.64999999999819,69.69999999999818,79.69999999999762,79.74999999999761,106.84999999999607,110.89999999999584,18.100000000000122,75.84999999999783,13.350000000000055,0,3.2999999999999963,0.25,0,26.0,52.00000000000023
J000006,2023-03-03/AUST,AUST,AMR_28,G11_2,WS_8_20,"[""110569""]",1,0.05,147.39999999999927,65.9999999999984,0.05,0.05,4.099999999999993,55.89999999999896,55.94999999999896,65.9499999999984,65.9999999999984,143.34999999999835,147.39999999999927,18.100000000000122,89.89999999999704,8.599999999999987,0,30.5500000000003,0.2,0,0.0,100.00000000000121
J000007,2023-03-03/AMPP,AMPP,AMR_23,G6_12,WS_13_20,"[""110185"", ""110285"", ""110498"", ""110512"", ""112334""]",6,0.05,184.25000000000765,99.84999999999647,0.05,24.750000000000217,28.800000000000274,89.74999999999704,89.79999999999704,99.79999999999647,99.84999999999647,180.20000000000672,184.25000000000765,18.100000000000122,103.84999999999624,15.250000000000082,0,46.74999999999948,0.25,0,14.0,88.00000000000088
J000008,2023-03-03/BAMP,BAMP,AMR_04,G26_6,WS_19_20,"[""110604"", ""112009"", ""119644"", ""138468""]",4,0.05,223.45000000001656,117.29999999999548,0.05,48.099999999999405,52.149999999999174,107.19999999999605,107.24999999999605,117.24999999999548,117.29999999999548,219.40000000001564,223.45000000001656,18.100000000000122,119.34999999999536,17.15000000000011,0,68.54999999999825,0.25,0,30.00000000000003,100.00000000000097
J000009,2023-03-03/ALMA,ALMA,AMR_29,G17_2,WS_2_20,"[""110523"", ""132613""]",2,0.05,255.50000000002385,195.75000000001026,0.05,19.050000000000136,23.100000000000193,185.65000000000796,185.70000000000798,195.70000000001025,195.75000000001026,251.45000000002292,255.50000000002385,18.100000000000122,164.35000000000312,16.250000000000096,0,56.49999999999893,0.25,0,16.0,191.9999999999948
J000010,2023-03-03/BANT,BANT,AMR_05,G26_12,WS_30_20,"[""112333"", ""121833""]",2,0.05,134.44999999999632,97.09999999999663,0.05,29.20000000000028,33.25000000000025,86.9999999999972,87.0499999999972,97.04999999999663,97.09999999999663,130.3999999999954,134.44999999999632,18.100000000000122,84.49999999999734,14.300000000000068,0,17.25000000000011,0.25,0,22.0,64.00000000000031
