task_id,date,store_id,workstation,release_time_s,completion_time_s,source_lines,completed_lines,status
2023-02-03/ALMA,2023-02-03,ALMA,WS_2_20,0.0,1520.349999999165,37,37,completed
2023-02-03/AMPP,2023-02-03,AMPP,WS_13_20,0.0,3568.600000004217,299,299,completed
2023-02-03/APUR,2023-02-03,APUR,WS_25_20,0.0,205.75000000001253,3,3,completed
2023-02-03/BAMP,2023-02-03,BAMP,WS_19_20,0.0,2417.75000000003,64,64,completed
2023-02-03/BDMC,2023-02-03,BDMC,WS_19_20,0.0,5439.400000011023,136,136,completed
2023-02-03/BDRW,2023-02-03,BDRW,WS_30_20,0.0,172.80000000000504,2,2,completed
2023-02-03/BKAG,2023-02-03,BKAG,WS_13_20,0.0,7160.500000017284,115,115,completed
2023-02-03/BKSD,2023-02-03,BKSD,WS_25_20,0.0,2503.250000000341,56,56,completed
2023-02-03/BKTM,2023-02-03,BKTM,WS_13_20,0.0,7656.750000019089,4,4,completed
2023-02-03/BLWE,2023-02-03,BLWE,WS_2_20,0.0,3465.4500000038415,50,50,completed
2023-02-03/BSAR,2023-02-03,BSAR,WS_25_20,0.0,3510.7500000040063,24,24,completed
2023-02-03/BURM,2023-02-03,BURM,WS_25_20,0.0,6762.150000015835,112,112,completed
2023-02-03/CTHR,2023-02-03,CTHR,WS_8_20,0.0,355.45000000004654,6,6,completed
2023-02-03/DMHS,2023-02-03,DMHS,WS_8_20,0.0,813.4999999998079,5,5,completed
2023-02-03/DSET,2023-02-03,DSET,WS_8_20,0.0,3985.150000005732,99,99,completed
2023-02-03/DSHA,2023-02-03,DSHA,WS_25_20,0.0,6830.450000016083,2,2,completed
2023-02-03/IPMG,2023-02-03,IPMG,WS_25_20,0.0,10673.849999984921,197,197,completed
2023-02-03/JETG,2023-02-03,JETG,WS_19_20,0.0,9391.050000003588,281,281,completed
2023-02-03/JHJY,2023-02-03,JHJY,WS_30_20,0.0,509.2500000000815,1,1,completed
2023-02-03/JJNG,2023-02-03,JJNG,WS_19_20,0.0,9599.300000000558,3,3,completed
2023-02-03/JKTP,2023-02-03,JKTP,WS_8_20,0.0,4909.450000009095,10,10,completed
2023-02-03/KBES,2023-02-03,KBES,WS_2_20,0.0,3642.900000004487,1,1,completed
2023-02-03/KELS,2023-02-03,KELS,WS_30_20,0.0,1152.2499999994998,6,6,completed
2023-02-03/KIDP,2023-02-03,KIDP,WS_25_20,0.0,10578.34999998631,1,1,completed
2023-02-03/KJIN,2023-02-03,KJIN,WS_30_20,0.0,2357.599999999811,40,40,completed
2023-02-03/KJRH,2023-02-03,KJRH,WS_2_20,0.0,7150.000000017246,137,137,completed
2023-02-03/KJSC,2023-02-03,KJSC,WS_25_20,0.0,11924.149999966727,57,57,completed
2023-02-03/KKCH,2023-02-03,KKCH,WS_8_20,0.0,7616.000000018941,105,105,completed
2023-02-03/KKDG,2023-02-03,KKDG,WS_13_20,0.0,9531.950000001538,43,43,completed
2023-02-03/KKIN,2023-02-03,KKIN,WS_2_20,0.0,7297.650000017783,7,7,completed
2023-02-03/KKLD,2023-02-03,KKLD,WS_25_20,0.0,16209.89999990436,147,147,completed
