robot,handling_service_seconds,translation_seconds,rotation_seconds,safety_blocking_seconds,reservation_path_wait_seconds,other_active_wait_seconds,idle_seconds,empty_distance_m,loaded_distance_m,busy_seconds,utilization
AMR_01,1013.5999999996259,6266.600000014032,810.4499999998106,0,3939.700000005567,12.850000000000048,1236.3499999994233,1380.000000000255,5431.999999995689,12043.200000019036,0.9068982006217906
AMR_02,886.8999999997411,6256.300000013995,823.7499999997985,0,3425.150000003695,12.100000000000037,1875.3499999988421,1958.0000000004864,4891.9999999966185,11404.200000017228,0.8587791002001379
AMR_03,886.8999999997411,6200.550000013792,736.0999999998783,0,3908.400000005453,11.500000000000028,1536.0999999991507,1610.0000000003943,5323.999999995687,11743.450000018864,0.8843258996024511
AMR_04,868.7999999997576,6063.550000013293,760.3499999998562,0,3963.2000000056523,11.500000000000028,1612.1499999990815,1744.0000000003758,4935.999999996163,11667.400000018559,0.878599048918459
AMR_05,904.9999999997247,6041.550000013213,779.8999999998384,0,3987.25000000574,11.65000000000003,1554.1999999991342,1124.000000000172,5443.999999995551,11725.350000018516,0.8829629016092646
AMR_06,886.8999999997411,5857.650000012544,821.4999999998006,0,4063.8000000060183,11.65000000000003,1638.049999999058,1460.0000000002533,4791.999999996814,11641.500000018104,0.8766486816243445
AMR_07,923.0999999997082,6191.450000013759,795.1499999998246,0,3835.2000000051867,12.400000000000041,1522.2499999991633,1738.000000000384,5039.9999999962065,11757.300000018478,0.8853688566303376
AMR_08,977.3999999996588,6000.750000013065,783.5999999998351,0,4150.400000006333,12.700000000000045,1354.6999999993157,1378.000000000253,5067.999999996403,11924.850000018892,0.8979860010366679
AMR_09,850.699999999774,6341.350000014304,813.6999999998077,0,3768.9000000049455,11.150000000000023,1493.7499999991892,1602.0000000003895,5455.9999999952815,11785.800000018831,0.8875150136914177
AMR_10,923.0999999997082,6357.850000014364,755.8499999998603,0,3670.2500000045866,12.200000000000038,1560.2999999991287,1434.0000000002942,5687.999999995213,11719.250000018521,0.882503548694443
