task_id,date,store_id,workstation,release_time_s,completion_time_s,source_lines,completed_lines,status
2023-01-03/AMPP,2023-01-03,AMPP,WS_13_20,0.0,691.299999999919,30,30,completed
2023-01-03/APUR,2023-01-03,APUR,WS_25_20,0.0,488.6000000000768,14,14,completed
2023-01-03/BDBU,2023-01-03,BDBU,WS_19_20,0.0,622.5999999999815,14,14,completed
2023-01-03/BDMC,2023-01-03,BDMC,WS_19_20,0.0,1685.7499999990146,19,19,completed
2023-01-03/BDPP,2023-01-03,BDPP,WS_2_20,0.0,498.35000000007904,7,7,completed
2023-01-03/BDRW,2023-01-03,BDRW,WS_30_20,0.0,723.7499999998895,14,14,completed
2023-01-03/BHAU,2023-01-03,BHAU,WS_30_20,0.0,870.2499999997563,3,3,completed
2023-01-03/BIFG,2023-01-03,BIFG,WS_25_20,0.0,669.9999999999384,2,2,completed
2023-01-03/BKIN,2023-01-03,BKIN,WS_8_20,0.0,552.3000000000454,7,7,completed
2023-01-03/BKPS,2023-01-03,BKPS,WS_25_20,0.0,972.799999999663,4,4,completed
2023-01-03/BKSD,2023-01-03,BKSD,WS_25_20,0.0,2316.4499999996615,26,26,completed
2023-01-03/BLOS,2023-01-03,BLOS,WS_25_20,0.0,2497.6000000003205,2,2,completed
2023-01-03/BNUT,2023-01-03,BNUT,WS_13_20,0.0,835.1499999997882,1,1,completed
2023-01-03/BSAR,2023-01-03,BSAR,WS_25_20,0.0,2747.8000000012307,9,9,completed
2023-01-03/CENT,2023-01-03,CENT,WS_8_20,0.0,2017.9999999987124,58,58,completed
2023-01-03/CTHR,2023-01-03,CTHR,WS_8_20,0.0,2591.800000000663,19,19,completed
2023-01-03/CTSQ,2023-01-03,CTSQ,WS_13_20,0.0,2722.4500000011385,178,178,completed
2023-01-03/DEPE,2023-01-03,DEPE,WS_13_20,0.0,3209.700000002911,6,6,completed
2023-01-03/DESA,2023-01-03,DESA,WS_19_20,0.0,1994.6499999987336,10,10,completed
2023-01-03/DMHS,2023-01-03,DMHS,WS_8_20,0.0,3202.250000002884,12,12,completed
