job_id,task_id,store_id,robot,rack_id,workstation,covered_skus,covered_lines,dispatch_time_s,completion_time_s,station_release_time_s,to_pickup_time_s,pickup_wait_time_s,to_dropoff_entry_time_s,to_workstation_time_s,dropoff_wait_time_s,to_ingestor_exit_time_s,to_return_time_s,return_wait_time_s,idle_time_s,handling_service_seconds,translation_seconds,rotation_seconds,safety_blocking_seconds,reservation_path_wait_seconds,other_active_wait_seconds,idle_seconds,empty_distance_m,loaded_distance_m
J000001,2023-02-03/AMPP,AMPP,AMR_03,G26_13,WS_13_20,"[""101329"", ""110583"", ""110592"", ""111376"", ""112357""]",6,0.05,249.1500000000224,109.74999999999591,0.05,22.95000000000019,27.00000000000025,99.64999999999648,99.69999999999648,109.69999999999591,109.74999999999591,245.10000000002148,249.1500000000224,18.100000000000122,115.29999999999559,15.250000000000082,0,100.19999999999645,0.25,0,18.0,92.00000000000045
J000002,2023-02-03/BAMP,BAMP,AMR_02,G18_13,WS_19_20,"[""101296"", ""112019"", ""132450""]",4,0.05,95.54999999999671,58.7499999999988,0.05,14.40000000000007,18.450000000000127,48.64999999999937,48.69999999999937,58.6999999999988,58.7499999999988,91.49999999999694,95.54999999999671,18.100000000000122,57.34999999999888,11.450000000000028,0,8.349999999999984,0.25,0,10.0,44.00000000000006
J000003,2023-02-03/APUR,APUR,AMR_01,G30_7,WS_25_20,"[""117427""]",1,0.05,163.0000000000028,106.99999999999606,0.05,52.149999999999174,56.199999999998944,96.89999999999664,96.94999999999663,106.94999999999607,106.99999999999606,158.9500000000019,163.0000000000028,18.100000000000122,107.69999999999602,13.350000000000055,0,23.5500000000002,0.25,0,40.00000000000022,88.00000000000068
J000004,2023-02-03/ALMA,ALMA,AMR_05,G20_8,WS_2_20,"[""110328"", ""214618""]",2,0.05,215.2500000000147,130.64999999999546,0.05,4.3499999999999925,8.399999999999984,120.5499999999953,120.59999999999529,130.59999999999545,130.64999999999546,211.20000000001377,215.2500000000147,18.100000000000122,136.5499999999968,13.350000000000055,0,46.94999999999947,0.25,0,2.0,159.99999999999906
J000005,2023-02-03/BDRW,BDRW,AMR_04,G35_13,WS_30_20,"[""107364""]",1,0.05,122.54999999999518,87.64999999999716,0.05,43.54999999999966,47.59999999999943,77.54999999999774,77.59999999999773,87.59999999999717,87.64999999999716,118.49999999999541,122.54999999999518,18.100000000000122,84.79999999999733,13.350000000000055,0,5.999999999999987,0.25,0,42.00000000000004,52.00000000000021
J000006,2023-02-03/CTHR,CTHR,AMR_25,G11_13,WS_8_20,"[""101276""]",2,0.05,71.34999999999809,36.80000000000005,0.05,0.05,4.099999999999993,26.700000000000244,26.750000000000245,36.75000000000005,36.80000000000005,67.29999999999832,71.34999999999809,18.100000000000122,44.44999999999961,7.649999999999981,0,0.9000000000000002,0.2,0,0.0,48.000000000000384
J000007,2023-02-03/AMPP,AMPP,AMR_28,G15_4,WS_13_20,"[""101104"", ""107285"", ""110130"", ""110475"", ""112009""]",7,0.05,123.54999999999512,75.39999999999786,0.05,16.6000000000001,20.65000000000016,65.29999999999843,65.34999999999843,75.34999999999786,75.39999999999786,119.49999999999535,123.54999999999512,18.100000000000122,86.84999999999721,12.35000000000004,0,5.949999999999987,0.25,0,12.0,84.00000000000126
J000008,2023-02-03/BAMP,BAMP,AMR_36,G23_8,WS_19_20,"[""110393"", ""110533"", ""131216""]",3,0.05,166.4000000000036,109.74999999999591,0.05,33.25000000000025,37.30000000000002,99.64999999999648,99.69999999999648,109.69999999999591,109.74999999999591,162.35000000000267,166.4000000000036,18.100000000000122,97.39999999999661,15.250000000000082,0,35.35000000000013,0.25,0,30.0,68.00000000000054
J000009,2023-02-03/APUR,APUR,AMR_29,G21_6,WS_25_20,"[""110439""]",1,0.05,162.65000000000273,122.94999999999516,0.05,46.04999999999952,50.09999999999929,112.84999999999573,112.89999999999573,122.89999999999516,122.94999999999516,158.6000000000018,162.65000000000273,18.100000000000122,107.999999999996,15.250000000000082,0,21.000000000000163,0.25,0,32.00000000000001,84.00000000000088
J000010,2023-02-03/ALMA,ALMA,AMR_13,G3_15,WS_2_20,"[""110344""]",1,0.05,86.9499999999972,62.44999999999859,0.05,15.050000000000079,19.100000000000136,52.34999999999916,52.39999999999916,62.39999999999859,62.44999999999859,82.89999999999743,86.9499999999972,18.100000000000122,47.049999999999464,8.549999999999986,0,12.950000000000049,0.25,0,10.0,31.99999999999998
J000011,2023-02-03/CTHR,CTHR,AMR_35,G18_2,WS_8_20,"[""112316""]",1,0.05,231.90000000001848,147.0499999999992,0.05,27.10000000000025,31.150000000000308,136.9499999999969,136.9999999999969,146.99999999999918,147.0499999999992,227.85000000001756,231.90000000001848,18.100000000000122,142.7499999999982,16.200000000000095,0,54.54999999999904,0.25,0,17.999999999999996,140.00000000000077
J000012,2023-02-03/AMPP,AMPP,AMR_09,G6_13,WS_13_20,"[""110328"", ""111261"", ""111992"", ""123763""]",5,0.05,179.05000000000646,143.84999999999846,0.05,55.199999999999,59.24999999999877,133.74999999999616,133.79999999999617,143.79999999999845,143.84999999999846,175.00000000000554,179.05000000000646,18.100000000000122,102.7999999999963,15.300000000000082,0,42.54999999999972,0.25,0,40.00000000000013,64.00000000000045
J000013,2023-02-03/BAMP,BAMP,AMR_31,G11_6,WS_19_20,"[""115794"", ""117422""]",2,0.05,153.95000000000076,92.69999999999688,0.05,0.05,4.099999999999993,82.59999999999745,82.64999999999745,92.64999999999688,92.69999999999688,149.89999999999984,153.95000000000076,18.100000000000122,90.14999999999702,9.55,0,35.9000000000001,0.2,0,0.0,104.00000000000134
J000014,2023-02-03/APUR,APUR,AMR_23,G6_12,WS_25_20,"[""101202""]",1,0.05,321.20000000003876,138.89999999999733,0.05,26.800000000000246,30.850000000000303,128.79999999999504,128.84999999999505,138.84999999999732,138.89999999999733,317.15000000003783,321.20000000003876,18.100000000000122,148.49999999999952,22.80000000000019,0,131.49999999999565,0.25,0,14.0,139.99999999999946
J000015,2023-02-03/ALMA,ALMA,AMR_11,G2_13,WS_2_20,"[""107177""]",1,0.05,102.7999999999963,79.49999999999763,0.05,4.749999999999991,8.79999999999999,69.3999999999982,69.4499999999982,79.44999999999763,79.49999999999763,98.74999999999653,102.7999999999963,18.100000000000122,51.099999999999234,7.649999999999981,0,25.65000000000023,0.25,0,4.0,44.0000000000002
J000016,2023-02-03/AMPP,AMPP,AMR_40,G21_14,WS_13_20,"[""110141"", ""112359"", ""112363"", ""125175""]",4,0.05,158.40000000000177,92.69999999999688,0.05,29.550000000000285,33.60000000000023,82.59999999999745,82.64999999999745,92.64999999999688,92.69999999999688,154.35000000000085,158.40000000000177,18.100000000000122,93.9499999999968,15.250000000000082,0,30.800000000000303,0.25,0,28.0,68.00000000000031
J000017,2023-02-03/BAMP,BAMP,AMR_37,G33_8,WS_19_20,"[""137330"", ""138351""]",2,0.05,208.95000000001326,143.84999999999846,0.05,68.14999999999827,72.19999999999804,133.74999999999616,133.79999999999617,143.79999999999845,143.84999999999846,204.90000000001234,208.95000000001326,18.100000000000122,144.8999999999987,17.15000000000011,0,28.50000000000027,0.25,0,54.00000000000013,116.00000000000033
J000018,2023-02-03/ALMA,ALMA,AMR_08,G3_13,WS_2_20,"[""107105""]",1,0.05,145.84999999999891,113.59999999999569,0.05,23.6500000000002,27.70000000000026,103.49999999999626,103.54999999999626,113.54999999999569,113.59999999999569,141.799999999998,145.84999999999891,18.100000000000122,68.39999999999826,11.450000000000028,0,47.59999999999943,0.25,0,16.0,44.000000000000185
