robot,handling_service_seconds,translation_seconds,rotation_seconds,safety_blocking_seconds,reservation_path_wait_seconds,other_active_wait_seconds,idle_seconds,empty_distance_m,loaded_distance_m,busy_seconds,utilization
AMR_01,1357.499999999313,11160.899999977833,1473.3999999992077,0,11337.199999975268,18.65000000000013,1147.1999999995044,3471.999999998608,8775.999999995518,25347.649999951624,0.9567010192617171
AMR_02,1538.4999999991485,11532.84999997242,1528.149999999158,0,10217.299999991565,21.150000000000166,1656.8999999990408,3593.999999998341,9019.999999996155,24837.949999962293,0.9374633183502551
AMR_03,1466.0999999992143,11209.049999977133,1447.9499999992308,0,11297.14999997585,19.95000000000015,1054.6499999995885,4119.999999997558,8035.999999992312,25440.19999995143,0.9601941509458242
AMR_04,1339.3999999993296,10557.74999998661,1396.8999999992773,0,11757.399999969153,18.300000000000125,1425.0999999992516,3277.999999998635,8103.999999992085,25069.74999995437,0.9462121884134644
AMR_05,1574.6999999991156,11992.049999965739,1615.1499999990788,0,10094.64999999335,21.50000000000017,1196.7999999994593,3947.99999999776,9279.999999997548,25298.049999957282,0.954828957332897
AMR_06,1429.8999999992473,11131.199999978266,1500.6999999991829,0,10793.649999983178,19.550000000000143,1619.8499999990745,3355.999999998703,8711.99999999498,24874.99999995987,0.9388617033193309
AMR_07,1592.799999999099,12080.249999964455,1661.5999999990365,0,9848.299999996934,21.800000000000175,1290.0999999993744,4223.999999997433,8915.999999996475,25204.749999959524,0.9513075182608274
AMR_08,1484.1999999991979,11330.89999997536,1574.3499999991159,0,11017.699999979917,20.300000000000153,1067.399999999577,3799.999999998063,8519.999999994314,25427.44999995359,0.9597129253492287
AMR_09,1556.599999999132,11857.449999967697,1673.4999999990257,0,9891.649999996303,21.45000000000017,1494.1999999991888,4861.999999996515,7939.999999992082,25000.64999996216,0.9436041343956892
AMR_10,1538.4999999991485,11688.099999970162,1607.149999999086,0,10093.149999993371,21.200000000000166,1546.749999999141,3993.999999997787,8747.9999999947,24948.099999961767,0.9416207300736841
AMR_11,1737.5999999989674,12830.799999953533,1783.9499999989253,0,8703.800000013589,23.6500000000002,1415.0499999992608,4497.999999997053,9515.999999998627,25079.799999965016,0.9465915074136
AMR_12,1466.0999999992143,11343.849999975171,1460.5999999992193,0,10951.899999980875,20.00000000000015,1252.3999999994087,3943.9999999977626,8495.999999993785,25242.44999995448,0.9527304362994388
AMR_13,1556.599999999132,11225.399999976895,1507.8999999991763,0,11213.699999977065,21.150000000000166,970.0999999996654,3875.999999997807,8291.999999992657,25524.74999995227,0.9633853371575454
AMR_14,1393.6999999992802,10547.399999986761,1448.94999999923,0,11196.14999997732,19.100000000000136,1889.5499999988292,3827.9999999979577,7607.999999992796,24605.29999996259,0.9286823665803128
AMR_15,1466.0999999992143,11788.049999968707,1533.499999999153,0,10448.099999988206,20.10000000000015,1238.9999999994209,3753.999999997996,9191.99999999765,25255.84999995528,0.9532361949657806
AMR_16,1393.6999999992802,11345.99999997514,1527.999999999158,0,11014.649999979962,19.100000000000136,1193.3999999994624,4161.999999997201,8319.999999992402,25301.44999995354,0.9549572841585362
AMR_17,1411.7999999992637,10888.99999998179,1481.3499999992005,0,11476.699999973238,19.35000000000014,1216.6499999994412,3973.999999997787,7843.9999999922675,25278.19999995349,0.9540797551292998
AMR_18,1683.2999999990168,12607.04999995679,1715.7999999989872,0,8745.65000001298,23.200000000000195,1719.8499999989835,4383.99999999731,9319.999999997593,24774.999999967775,0.9350873849143194
AMR_19,1375.5999999992966,11200.449999977258,1533.449999999153,0,11001.74999998015,18.75000000000013,1364.8499999993064,3685.9999999982174,8459.99999999325,25129.999999955857,0.9484862152527198
AMR_20,1339.3999999993296,11391.149999974483,1466.1999999992142,0,10689.499999984693,18.350000000000126,1590.2499999991014,3875.999999997739,8615.999999994396,24904.599999957718,0.9399789015672214
AMR_21,1393.6999999992802,11235.29999997675,1554.2999999991341,0,10825.04999998272,18.950000000000134,1467.549999999213,3809.999999998124,8287.999999992402,25027.299999957886,0.9446099902505432
AMR_22,1466.0999999992143,12177.199999963044,1543.9499999991435,0,10066.549999993758,19.900000000000148,1221.1499999994371,4449.999999996957,8987.999999996833,25273.699999955163,0.953909910801124
AMR_23,1447.9999999992308,11619.249999971164,1560.2499999991287,0,10571.649999986408,19.95000000000015,1275.7499999993875,4067.999999997666,8683.999999994974,25219.09999995593,0.9518491329518538
AMR_24,1592.799999999099,11805.999999968446,1591.7999999991,0,10380.149999989195,21.700000000000173,1102.3999999995451,3971.9999999979377,8823.99999999522,25392.449999955843,0.9583919139074552
AMR_25,1592.799999999099,12579.349999957192,1671.7999999990272,0,9482.050000002264,21.40000000000017,1147.4499999995041,4603.999999996907,9319.99999999815,25347.399999957583,0.9566915834659288
AMR_26,1411.7999999992637,11034.349999979675,1460.4999999992194,0,11344.099999975168,19.35000000000014,1224.7499999994338,3273.999999998896,8691.999999994388,25270.099999953323,0.9537740353384634
AMR_27,1357.499999999313,10948.899999980918,1480.0999999992016,0,11594.69999997152,18.60000000000013,1095.0499999995518,3877.999999997794,7955.999999992335,25399.799999950952,0.9586693263100609
AMR_28,1538.4999999991485,11475.549999973255,1613.79999999908,0,10934.149999981133,21.100000000000165,911.7499999997185,3829.9999999981187,8447.999999994048,25583.099999952618,0.9655876519470569
AMR_29,1574.6999999991156,12142.849999963544,1629.3999999990658,0,9904.99999999611,21.50000000000017,1221.399999999437,4617.999999996914,8599.999999994234,25273.449999957833,0.9539004750052115
AMR_30,1393.6999999992802,11278.949999976116,1542.8499999991445,0,10584.899999986215,19.200000000000138,1675.249999999024,4337.999999997367,7959.99999999206,24819.599999960756,0.9367707309228227
AMR_31,1447.9999999992308,12149.749999963444,1591.3499999991004,0,9740.099999998509,19.800000000000146,1545.8499999991418,4551.999999996565,8963.999999996382,24948.999999960284,0.9416546989392759
AMR_32,1339.3999999993296,10787.649999983265,1466.6499999992138,0,11275.349999976168,18.250000000000124,1607.5499999990857,3637.9999999981974,7931.999999992587,24887.299999957977,0.9393259444831126
AMR_33,1556.599999999132,12320.499999960959,1606.199999999087,0,9426.350000003074,21.35000000000017,1563.8499999991254,4625.999999996757,9011.99999999585,24930.999999962252,0.9409753216263944
AMR_34,1466.0999999992143,11182.299999977522,1584.6999999991065,0,10858.599999982232,20.200000000000152,1382.94999999929,3877.999999998014,8159.999999991765,25111.899999958074,0.9478030636214424
AMR_35,1447.9999999992308,11575.449999971801,1585.199999999106,0,10390.14999998905,19.850000000000147,1476.1999999992051,4127.999999997641,8419.999999992788,25018.649999959183,0.9442835117085328
AMR_36,1574.6999999991156,10953.54999998085,1565.7999999991237,0,11134.649999978215,21.55000000000017,1244.5999999994158,3879.9999999979536,7787.999999993114,25250.249999957305,0.9530248331351596
AMR_37,1447.9999999992308,11235.849999976743,1501.9999999991817,0,10762.59999998363,19.95000000000015,1526.4499999991594,4285.999999997343,7999.999999992065,24968.399999958787,0.9423869167098495
AMR_38,1556.599999999132,10820.149999982792,1504.4999999991794,0,11188.59999997743,21.300000000000168,1403.699999999271,3493.999999998575,8123.999999992049,25091.149999958532,0.9470198925523579
AMR_39,1429.8999999992473,11055.149999979372,1524.5999999991611,0,11123.899999978372,19.550000000000143,1341.7499999993274,3929.9999999978595,7987.999999992202,25153.09999995615,0.9493580828043575
AMR_40,1538.4999999991485,11873.399999967465,1658.6999999990392,0,10549.999999986723,21.100000000000165,853.1499999997718,4389.999999997146,8547.999999994065,25641.699999952376,0.9677994025325594
