task_id,date,store_id,workstation,release_time_s,completion_time_s,source_lines,completed_lines,status
2023-02-03/ALMA,2023-02-03,ALMA,WS_2_20,0.0,1481.9499999992,37,37,completed
2023-02-03/AMPP,2023-02-03,AMPP,WS_13_20,0.0,9590.25000000069,299,299,completed
2023-02-03/APUR,2023-02-03,APUR,WS_25_20,0.0,321.20000000003876,3,3,completed
2023-02-03/BAMP,2023-02-03,BAMP,WS_19_20,0.0,1727.8999999989762,64,64,completed
2023-02-03/BDMC,2023-02-03,BDMC,WS_19_20,0.0,8603.750000015045,136,136,completed
2023-02-03/BDRW,2023-02-03,BDRW,WS_30_20,0.0,295.850000000033,2,2,completed
2023-02-03/BKAG,2023-02-03,BKAG,WS_13_20,0.0,12870.499999952955,115,115,completed
2023-02-03/BKSD,2023-02-03,BKSD,WS_25_20,0.0,2492.750000000303,56,56,completed
2023-02-03/BKTM,2023-02-03,BKTM,WS_13_20,0.0,13103.249999949569,4,4,completed
2023-02-03/BLWE,2023-02-03,BLWE,WS_2_20,0.0,3488.950000003927,50,50,completed
2023-02-03/BSAR,2023-02-03,BSAR,WS_25_20,0.0,3732.8500000048143,24,24,completed
2023-02-03/BURM,2023-02-03,BURM,WS_25_20,0.0,8414.650000017797,112,112,completed
2023-02-03/CTHR,2023-02-03,CTHR,WS_8_20,0.0,375.5000000000511,6,6,completed
2023-02-03/DMHS,2023-02-03,DMHS,WS_8_20,0.0,716.599999999896,5,5,completed
2023-02-03/DSET,2023-02-03,DSET,WS_8_20,0.0,3809.200000005092,99,99,completed
2023-02-03/DSHA,2023-02-03,DSHA,WS_25_20,0.0,8514.500000016344,2,2,completed
2023-02-03/IPMG,2023-02-03,IPMG,WS_25_20,0.0,13575.649999942694,197,197,completed
2023-02-03/JETG,2023-02-03,JETG,WS_19_20,0.0,13962.84999993706,281,281,completed
2023-02-03/JHJY,2023-02-03,JHJY,WS_30_20,0.0,386.5000000000536,1,1,completed
2023-02-03/JJNG,2023-02-03,JJNG,WS_19_20,0.0,14131.19999993461,3,3,completed
2023-02-03/JKTP,2023-02-03,JKTP,WS_8_20,0.0,4170.300000006406,10,10,completed
2023-02-03/KBES,2023-02-03,KBES,WS_2_20,0.0,3551.950000004156,1,1,completed
2023-02-03/KELS,2023-02-03,KELS,WS_30_20,0.0,881.9999999997456,6,6,completed
2023-02-03/KIDP,2023-02-03,KIDP,WS_25_20,0.0,13513.899999943593,1,1,completed
2023-02-03/KJIN,2023-02-03,KJIN,WS_30_20,0.0,3247.100000003047,40,40,completed
2023-02-03/KJRH,2023-02-03,KJRH,WS_2_20,0.0,10471.049999987872,137,137,completed
2023-02-03/KJSC,2023-02-03,KJSC,WS_25_20,0.0,14954.099999922635,57,57,completed
2023-02-03/KKCH,2023-02-03,KKCH,WS_8_20,0.0,10104.299999993209,105,105,completed
2023-02-03/KKDG,2023-02-03,KKDG,WS_13_20,0.0,14703.899999926276,43,43,completed
2023-02-03/KKIN,2023-02-03,KKIN,WS_2_20,0.0,10815.749999982856,7,7,completed
2023-02-03/KKLD,2023-02-03,KKLD,WS_25_20,0.0,19263.19999985993,147,147,completed
2023-02-03/KPBR,2023-02-03,KPBR,WS_2_20,0.0,11142.399999978103,4,4,completed
2023-02-03/KTTG,2023-02-03,KTTG,WS_13_20,0.0,14840.949999924282,1,1,completed
2023-02-03/KULA,2023-02-03,KULA,WS_19_20,0.0,14660.799999926903,9,9,completed
2023-02-03/MBPN,2023-02-03,MBPN,WS_19_20,0.0,14742.599999925713,2,2,completed
2023-02-03/MLP2,2023-02-03,MLP2,WS_30_20,0.0,3562.8000000041957,4,4,completed
2023-02-03/MMIM,2023-02-03,MMIM,WS_2_20,0.0,11286.999999975998,6,6,completed
2023-02-03/MMJJ,2023-02-03,MMJJ,WS_13_20,0.0,14968.949999922419,2,2,completed
2023-02-03/MMKA,2023-02-03,MMKA,WS_30_20,0.0,3631.7000000044463,1,1,completed
2023-02-03/MMMA,2023-02-03,MMMA,WS_2_20,0.0,11592.299999971556,1,1,completed
2023-02-03/MMNB,2023-02-03,MMNB,WS_13_20,0.0,15501.44999991467,10,10,completed
2023-02-03/MMSA,2023-02-03,MMSA,WS_2_20,0.0,12127.949999963761,7,7,completed
2023-02-03/MMSI,2023-02-03,MMSI,WS_2_20,0.0,12226.849999962322,1,1,completed
2023-02-03/MMTU,2023-02-03,MMTU,WS_19_20,0.0,14992.049999922083,1,1,completed
2023-02-03/PAGU,2023-02-03,PAGU,WS_30_20,0.0,4006.4000000058095,5,5,completed
2023-02-03/PANJ,2023-02-03,PANJ,WS_30_20,0.0,10564.399999986514,157,157,completed
2023-02-03/PMJY,2023-02-03,PMJY,WS_8_20,0.0,10345.199999989703,5,5,completed
2023-02-03/PUJA,2023-02-03,PUJA,WS_13_20,0.0,17302.349999888465,62,62,completed
2023-02-03/RUDA,2023-02-03,RUDA,WS_8_20,0.0,14436.94999993016,149,149,completed
2023-02-03/SEBR,2023-02-03,SEBR,WS_25_20,0.0,23934.89999979195,189,189,completed
2023-02-03/SEMY,2023-02-03,SEMY,WS_19_20,0.0,17137.79999989086,92,92,completed
2023-02-03/SETA,2023-02-03,SETA,WS_30_20,0.0,16312.99999990286,238,238,completed
2023-02-03/SPER,2023-02-03,SPER,WS_30_20,0.0,19483.649999856723,85,85,completed
2023-02-03/SRPA,2023-02-03,SRPA,WS_8_20,0.0,19870.1999998511,240,240,completed
2023-02-03/SRSD,2023-02-03,SRSD,WS_8_20,0.0,22141.14999981805,60,60,completed
2023-02-03/SS14,2023-02-03,SS14,WS_13_20,0.0,21501.199999827364,123,123,completed
2023-02-03/TGYA,2023-02-03,TGYA,WS_30_20,0.0,19688.74999985374,2,2,completed
2023-02-03/TJKR,2023-02-03,TJKR,WS_30_20,0.0,23796.899999793957,155,155,completed
2023-02-03/TMBM,2023-02-03,TMBM,WS_19_20,0.0,17256.149999889138,1,1,completed
2023-02-03/TMCO,2023-02-03,TMCO,WS_25_20,0.0,24022.14999979068,2,2,completed
2023-02-03/TMDY,2023-02-03,TMDY,WS_25_20,0.0,24462.999999784264,7,7,completed
2023-02-03/TMMI,2023-02-03,TMMI,WS_13_20,0.0,21682.549999824725,3,3,completed
2023-02-03/TMMU,2023-02-03,TMMU,WS_13_20,0.0,21925.199999821194,5,5,completed
2023-02-03/TMNU,2023-02-03,TMNU,WS_30_20,0.0,24119.149999789268,3,3,completed
2023-02-03/TMTM,2023-02-03,TMTM,WS_19_20,0.0,20714.999999838805,119,119,completed
2023-02-03/TMYL,2023-02-03,TMYL,WS_8_20,0.0,22433.2999998138,1,1,completed
2023-02-03/TPAN,2023-02-03,TPAN,WS_13_20,0.0,25297.399999772122,147,147,completed
2023-02-03/TPKA,2023-02-03,TPKA,WS_2_20,0.0,14937.549999922876,102,102,completed
2023-02-03/TSDA,2023-02-03,TSDA,WS_8_20,0.0,24652.399999781508,78,78,completed
2023-02-03/TSGB,2023-02-03,TSGB,WS_2_20,0.0,20616.499999840238,216,216,completed
2023-02-03/TSUS,2023-02-03,TSUS,WS_2_20,0.0,20574.799999840845,1,1,completed
2023-02-03/TTNG,2023-02-03,TTNG,WS_19_20,0.0,22724.849999809558,48,48,completed
2023-02-03/VVSM,2023-02-03,VVSM,WS_2_20,0.0,23415.799999799503,76,76,completed
2023-02-03/WBCK,2023-02-03,WBCK,WS_2_20,0.0,24197.39999978813,22,22,completed
2023-02-03/WGMS,2023-02-03,WGMS,WS_13_20,0.0,25870.69999976378,36,36,completed
2023-02-03/WKBH,2023-02-03,WKBH,WS_19_20,0.0,23656.349999796003,33,33,completed
2023-02-03/WKBS,2023-02-03,WKBS,WS_30_20,0.0,24737.299999780273,29,29,completed
2023-02-03/WKKR,2023-02-03,WKKR,WS_2_20,0.0,25162.349999774087,45,45,completed
2023-02-03/WKLP,2023-02-03,WKLP,WS_8_20,0.0,25347.0499997714,43,43,completed
2023-02-03/WSBJ,2023-02-03,WSBJ,WS_30_20,0.0,26494.849999754697,120,120,completed
2023-02-03/WTNM,2023-02-03,WTNM,WS_8_20,0.0,25829.39999976438,35,35,completed
