robot,handling_service_seconds,translation_seconds,rotation_seconds,safety_blocking_seconds,reservation_path_wait_seconds,other_active_wait_seconds,idle_seconds,empty_distance_m,loaded_distance_m,busy_seconds,utilization
AMR_01,1031.6999999996094,7736.75000001938,1050.6499999995922,0,6513.950000014932,13.950000000000063,1493.1999999991897,2238.0000000002615,6055.9999999950005,16347.000000033513,0.9163013867637629
AMR_02,1230.7999999994283,7410.200000018192,1124.1999999995253,0,6496.300000014868,16.400000000000098,1562.2999999991268,2022.0000000004718,5783.999999995694,16277.900000032014,0.9124281118003679
AMR_03,1194.5999999994613,8014.800000020392,1106.4499999995414,0,5771.4000000122305,15.900000000000091,1737.049999998968,2156.000000000355,6599.999999993929,16103.150000031626,0.9026328180255472
AMR_04,1013.5999999996259,7106.700000017088,1007.2499999996317,0,6557.050000015089,13.850000000000062,2141.749999999026,1886.0000000003752,5607.999999995671,15698.450000031435,0.8799480947599504
AMR_05,1194.5999999994613,7727.300000019346,1104.5499999995432,0,6021.950000013142,15.950000000000092,1775.8499999989326,2505.999999999929,5639.999999995873,16064.350000031493,0.9004579545150263
AMR_06,1067.8999999995765,7623.500000018968,1031.8999999996092,0,6661.80000001547,14.500000000000071,1440.5999999992375,1982.0000000004434,6143.999999994678,16399.60000003362,0.9192497842032793
AMR_07,1158.3999999994942,8119.600000020773,1096.7499999995503,0,6087.900000013382,15.600000000000087,1361.949999999309,2370.000000000069,6343.999999994777,16478.2500000332,0.923658367066706
AMR_08,1067.8999999995765,7686.350000019197,1022.249999999618,0,5672.40000001187,14.300000000000068,2376.9999999998818,2238.000000000265,6075.999999994815,15463.200000030261,0.8667615833978162
AMR_09,1212.6999999994448,8292.300000019577,1152.8499999994992,0,6107.100000013452,16.250000000000096,1058.9999999995846,2210.000000000242,6675.999999994288,16781.20000003197,0.9406396789354519
AMR_10,1031.6999999996094,7180.250000017356,997.3999999996406,0,6555.850000015084,14.050000000000065,2060.949999998732,2348.0000000001264,5295.999999995998,15779.25000003169,0.8844771919674254
AMR_11,1104.0999999995436,7984.800000020283,1100.6999999995467,0,6065.850000013302,15.10000000000008,1569.6499999991202,2458.0000000000077,6115.999999995051,16270.550000032674,0.9120161209034391
AMR_12,1122.199999999527,7686.100000019196,1087.099999999559,0,6307.35000001418,15.300000000000082,1622.1499999990724,2164.000000000275,5931.999999995611,16218.050000032461,0.9090733287822429
AMR_13,1122.199999999527,7785.950000019559,1113.6999999995348,0,5589.050000011567,15.000000000000078,2214.29999999929,2334.000000000093,6023.999999995186,15625.90000003019,0.8758814363143202
AMR_14,941.1999999996917,7298.550000017786,1011.8499999996275,0,6858.550000016186,12.550000000000043,1717.4999999989857,2278.000000000287,5447.999999996125,16122.700000033292,0.9037286577583863
AMR_15,1158.3999999994942,8292.75000001957,1150.999999999501,0,6184.750000013734,15.750000000000089,1037.549999999604,2567.999999999824,6375.999999994503,16802.6500000323,0.9418420197164112
AMR_16,977.3999999996588,7083.600000017004,1001.5999999996368,0,6521.350000014959,13.200000000000053,2243.0499999993945,1856.000000000361,5567.999999995949,15597.150000031259,0.8742699072956365
AMR_17,1085.99999999956,7397.8500000181475,1044.5999999995977,0,6238.750000013931,14.850000000000076,2058.149999998722,2234.0000000002938,5651.999999995606,15782.050000031237,0.8846341408805298
AMR_18,1067.8999999995765,7289.850000017755,1041.3499999996006,0,5926.100000012793,14.500000000000071,2500.500000000331,1916.000000000454,5831.999999995216,15339.700000029725,0.8598390152650954
AMR_19,1085.99999999956,7719.4500000193175,1089.6499999995567,0,6202.250000013798,14.500000000000071,1728.3499999989758,2665.999999999584,5543.999999995468,16111.850000032235,0.9031204807199489
AMR_20,1104.0999999995436,7716.100000019305,1075.7999999995693,0,6678.000000015529,14.700000000000074,1251.4999999994095,2318.0000000001714,5867.999999995319,16588.70000003395,0.9298494411578871
AMR_21,977.3999999996588,7357.100000017999,995.1999999996426,0,6475.450000014792,13.150000000000052,2021.8999999987088,2302.000000000221,5575.999999995916,15818.300000032092,0.8866660687737764
AMR_22,1104.0999999995436,7760.250000019466,1156.8499999994956,0,6466.950000014761,14.900000000000077,1337.1499999993316,2338.0000000000914,5855.999999995296,16503.050000033265,0.9250484860115739
AMR_23,1140.2999999995106,7458.450000018368,1046.9499999995955,0,5926.1500000127935,15.400000000000084,2252.9499999994305,2076.000000000432,5835.99999999541,15587.250000030266,0.8737149807813003
AMR_24,1230.7999999994283,8313.950000019262,1126.799999999523,0,5695.150000011953,16.6000000000001,1456.8999999992227,1956.0000000004527,7059.9999999937245,16383.300000030167,0.9183361173159371
AMR_25,1158.3999999994942,7944.950000020138,1106.3499999995415,0,6117.300000013489,15.700000000000088,1497.4999999991858,2182.000000000283,6339.999999994678,16342.700000032664,0.9160603580756946
AMR_26,1104.0999999995436,7722.000000019327,1102.8499999995447,0,6082.350000013362,15.050000000000079,1813.849999998898,2378.0000000001423,5867.999999994995,16026.350000031776,0.8983279335511374
AMR_27,1085.99999999956,7955.200000020175,1121.0499999995282,0,6106.50000001345,14.650000000000073,1556.7999999991318,2507.9999999999304,5999.999999995274,16283.400000032712,0.9127364043083406
AMR_28,977.3999999996588,7362.70000001802,961.6499999996731,0,6889.650000016299,13.100000000000051,1635.69999999906,1846.0000000004225,6035.999999995047,16204.500000033653,0.9083138081491279
AMR_29,1104.0999999995436,7541.40000001867,1045.1999999995971,0,5827.450000012434,14.700000000000074,2307.3499999996284,2409.9999999999905,5683.999999995437,15532.850000030245,0.8706656876119196
AMR_30,1067.8999999995765,7833.650000019733,1079.8999999995656,0,5671.650000011868,14.500000000000071,2172.599999999138,2805.999999999486,5623.999999995788,15667.600000030743,0.8782188540563205
AMR_31,995.4999999996423,7330.250000017902,1076.6999999995685,0,6099.650000013425,13.600000000000058,2324.4999999996908,2356.000000000056,5399.999999995886,15515.700000030536,0.8697043755190158
