job_id,task_id,store_id,robot,rack_id,workstation,covered_skus,covered_lines,dispatch_time_s,completion_time_s,station_release_time_s,to_pickup_time_s,pickup_wait_time_s,to_dropoff_entry_time_s,to_workstation_time_s,dropoff_wait_time_s,to_ingestor_exit_time_s,to_return_time_s,return_wait_time_s,idle_time_s,handling_service_seconds,translation_seconds,rotation_seconds,safety_blocking_seconds,reservation_path_wait_seconds,other_active_wait_seconds,idle_seconds,empty_distance_m,loaded_distance_m
J000001,2023-02-03/AMPP,AMPP,AMR_03,G33_7,WS_13_20,"[""110475"", ""110585"", ""112357"", ""112394"", ""113195"", ""134029""]",8,0.05,231.30000000001834,138.89999999999733,0.05,37.30000000000002,41.34999999999979,128.79999999999504,128.84999999999505,138.84999999999732,138.89999999999733,227.25000000001742,231.30000000001834,18.100000000000122,155.000000000001,15.250000000000082,0,42.649999999999714,0.25,0,40.00000000000022,143.99999999999878
J000002,2023-02-03/BAMP,BAMP,AMR_15,G8_4,WS_19_20,"[""101299"", ""110393"", ""110432"", ""132450""]",4,0.05,184.5000000000077,115.2499999999956,0.05,16.6500000000001,20.70000000000016,105.14999999999617,105.19999999999617,115.1999999999956,115.2499999999956,180.45000000000678,184.5000000000077,18.100000000000122,126.59999999999495,14.300000000000068,0,25.200000000000223,0.25,0,17.999999999999996,128.0000000000021
J000003,2023-02-03/APUR,APUR,AMR_39,G12_14,WS_25_20,"[""101202""]",1,0.05,172.25000000000492,124.0499999999951,0.05,0.05,4.099999999999993,113.94999999999567,113.99999999999567,123.9999999999951,124.0499999999951,168.200000000004,172.25000000000492,18.100000000000122,79.09999999999765,7.599999999999981,0,67.19999999999833,0.2,0,0.0,84.00000000000031
J000004,2023-02-03/ALMA,ALMA,AMR_04,G20_12,WS_2_20,"[""109969"", ""112386""]",2,0.05,198.950000000011,116.8999999999955,0.05,14.40000000000007,18.450000000000127,106.79999999999607,106.84999999999607,116.8499999999955,116.8999999999955,194.90000000001007,198.950000000011,18.100000000000122,111.84999999999579,13.300000000000054,0,55.39999999999899,0.25,0,10.0,112.00000000000165
J000005,2023-02-03/BDRW,BDRW,AMR_27,G6_15,WS_30_20,"[""110439""]",1,0.05,306.8000000000355,201.2000000000115,0.05,18.00000000000012,22.05000000000018,191.1000000000092,191.15000000000921,201.1500000000115,201.2000000000115,302.75000000003456,306.8000000000355,18.100000000000122,173.30000000000516,16.150000000000095,0,98.94999999999652,0.25,0,14.0,183.99999999999608
J000006,2023-02-03/CTHR,CTHR,AMR_11,G0_13,WS_8_20,"[""107364""]",2,0.05,101.79999999999636,62.349999999998595,0.05,0.05,4.099999999999993,52.24999999999917,52.299999999999166,62.2999999999986,62.349999999998595,97.74999999999659,101.79999999999636,18.100000000000122,63.9999999999985,7.599999999999981,0,11.850000000000033,0.2,0,0.0,68.00000000000041
J000007,2023-02-03/AMPP,AMPP,AMR_01,G17_10,WS_13_20,"[""110464"", ""110492"", ""110504"", ""110514"", ""112003""]",5,0.05,100.79999999999642,47.29999999999945,0.05,0.05,4.099999999999993,37.200000000000024,37.25000000000002,47.24999999999945,47.29999999999945,96.74999999999665,100.79999999999642,18.100000000000122,59.79999999999874,10.500000000000014,0,12.150000000000038,0.2,0,0.0,60.00000000000051
J000008,2023-02-03/BAMP,BAMP,AMR_34,G11_9,WS_19_20,"[""101097"", ""110328"", ""112357""]",4,0.05,187.35000000000835,132.29999999999583,0.05,0.05,4.099999999999993,122.1999999999952,122.2499999999952,132.24999999999582,132.29999999999583,183.30000000000743,187.35000000000835,18.100000000000122,94.49999999999677,13.350000000000055,0,61.14999999999866,0.2,0,0.0,96.00000000000065
J000009,2023-02-03/APUR,APUR,AMR_02,G20_2,WS_25_20,"[""117427""]",1,0.05,175.85000000000574,108.199999999996,0.05,34.1000000000002,38.14999999999997,98.09999999999657,98.14999999999657,108.149999999996,108.199999999996,171.80000000000481,175.85000000000574,18.100000000000122,112.39999999999576,13.300000000000054,0,31.750000000000316,0.25,0,20.0,104.00000000000111
J000010,2023-02-03/ALMA,ALMA,AMR_05,G29_9,WS_2_20,"[""110328"", ""110512""]",2,0.05,252.90000000002325,168.05000000000396,0.05,51.6499999999992,55.69999999999897,157.95000000000167,158.00000000000168,168.00000000000395,168.05000000000396,248.85000000002233,252.90000000002325,18.100000000000122,182.00000000000713,15.300000000000082,0,37.200000000000024,0.25,0,46.000000000000384,179.99999999999577
J000011,2023-02-03/CTHR,CTHR,AMR_40,G18_14,WS_8_20,"[""101276""]",2,0.05,206.5000000000127,143.79999999999845,0.05,25.65000000000023,29.700000000000287,133.69999999999615,133.74999999999616,143.74999999999844,143.79999999999845,202.45000000001178,206.5000000000127,18.100000000000122,121.74999999999523,19.100000000000136,0,47.24999999999945,0.25,0,22.0,100.00000000000063
J000012,2023-02-03/AMPP,AMPP,AMR_38,G15_15,WS_13_20,"[""100949"", ""110593"", ""112286"", ""123763""]",4,0.05,121.09999999999526,64.64999999999847,0.05,21.800000000000175,25.850000000000232,54.54999999999904,54.599999999999035,64.59999999999847,64.64999999999847,117.04999999999549,121.09999999999526,18.100000000000122,53.899999999999075,8.599999999999987,0,40.199999999999854,0.25,0,14.0,32.0
J000013,2023-02-03/BAMP,BAMP,AMR_37,G18_15,WS_19_20,"[""112387"", ""137330""]",2,0.05,166.25000000000355,149.3499999999997,0.05,60.84999999999868,64.89999999999846,139.2499999999974,139.29999999999742,149.2999999999997,149.3499999999997,162.20000000000263,166.25000000000355,18.100000000000122,74.54999999999791,12.450000000000042,0,60.84999999999868,0.25,0,38.0,32.0
