task_id,date,store_id,workstation,release_time_s,completion_time_s,source_lines,completed_lines,status
2023-03-03/ALMA,2023-03-03,ALMA,WS_2_20,0.0,1818.299999998894,35,35,completed
2023-03-03/AMPP,2023-03-03,AMPP,WS_13_20,0.0,4009.600000005821,159,159,completed
2023-03-03/APUR,2023-03-03,APUR,WS_25_20,0.0,110.84999999999584,2,2,completed
2023-03-03/AUST,2023-03-03,AUST,WS_8_20,0.0,99.94999999999646,1,1,completed
2023-03-03/BAMP,2023-03-03,BAMP,WS_19_20,0.0,2128.249999998977,71,71,completed
2023-03-03/BANT,2023-03-03,BANT,WS_30_20,0.0,1281.799999999382,29,29,completed
2023-03-03/BDBU,2023-03-03,BDBU,WS_19_20,0.0,2223.7999999993244,1,1,completed
2023-03-03/BDMC,2023-03-03,BDMC,WS_19_20,0.0,5653.900000011803,118,118,completed
2023-03-03/BDPP,2023-03-03,BDPP,WS_2_20,0.0,4857.600000008906,94,94,completed
2023-03-03/BDRW,2023-03-03,BDRW,WS_30_20,0.0,1685.249999999015,3,3,completed
2023-03-03/BHAU,2023-03-03,BHAU,WS_30_20,0.0,4081.250000006082,97,97,completed
2023-03-03/BKAG,2023-03-03,BKAG,WS_13_20,0.0,4072.45000000605,4,4,completed
2023-03-03/BKSD,2023-03-03,BKSD,WS_25_20,0.0,3447.8500000037775,109,109,completed
2023-03-03/BKTM,2023-03-03,BKTM,WS_13_20,0.0,4250.750000006698,1,1,completed
2023-03-03/BLOS,2023-03-03,BLOS,WS_25_20,0.0,5754.9000000121705,84,84,completed
2023-03-03/BLWE,2023-03-03,BLWE,WS_2_20,0.0,8918.200000010469,212,212,completed
2023-03-03/BPUU,2023-03-03,BPUU,WS_13_20,0.0,5546.800000011413,28,28,completed
2023-03-03/BURM,2023-03-03,BURM,WS_25_20,0.0,8202.650000020882,108,108,completed
2023-03-03/CENT,2023-03-03,CENT,WS_8_20,0.0,1966.8999999987589,43,43,completed
2023-03-03/CTHR,2023-03-03,CTHR,WS_8_20,0.0,2083.499999998814,2,2,completed
2023-03-03/CTSQ,2023-03-03,CTSQ,WS_13_20,0.0,6165.600000013665,11,11,completed
2023-03-03/DEPE,2023-03-03,DEPE,WS_13_20,0.0,6279.75000001408,1,1,completed
2023-03-03/DMHS,2023-03-03,DMHS,WS_8_20,0.0,2299.0999999995984,3,3,completed
2023-03-03/DSET,2023-03-03,DSET,WS_8_20,0.0,5805.900000012356,101,101,completed
2023-03-03/DSHA,2023-03-03,DSHA,WS_25_20,0.0,8279.900000019757,1,1,completed
2023-03-03/IPMG,2023-03-03,IPMG,WS_25_20,0.0,13684.949999941104,196,196,completed
2023-03-03/JETG,2023-03-03,JETG,WS_19_20,0.0,9421.350000003147,206,206,completed
2023-03-03/JHJY,2023-03-03,JHJY,WS_30_20,0.0,4042.3500000059403,1,1,completed
2023-03-03/JJNG,2023-03-03,JJNG,WS_19_20,0.0,9603.400000000498,2,2,completed
2023-03-03/JKTP,2023-03-03,JKTP,WS_8_20,0.0,5798.75000001233,1,1,completed
2023-03-03/JLTS,2023-03-03,JLTS,WS_25_20,0.0,13840.949999938834,7,7,completed
2023-03-03/KBES,2023-03-03,KBES,WS_2_20,0.0,9063.900000008349,1,1,completed
2023-03-03/KCHS,2023-03-03,KCHS,WS_8_20,0.0,6341.800000014306,1,1,completed
2023-03-03/KELS,2023-03-03,KELS,WS_30_20,0.0,4161.600000006374,2,2,completed
2023-03-03/KIDP,2023-03-03,KIDP,WS_25_20,0.0,13978.699999936829,1,1,completed
2023-03-03/KJIN,2023-03-03,KJIN,WS_30_20,0.0,6913.300000016385,76,76,completed
2023-03-03/KJRH,2023-03-03,KJRH,WS_2_20,0.0,12101.149999964151,111,111,completed
