robot,handling_service_seconds,translation_seconds,rotation_seconds,safety_blocking_seconds,reservation_path_wait_seconds,other_active_wait_seconds,idle_seconds,empty_distance_m,loaded_distance_m,busy_seconds,utilization
AMR_01,1248.8999999994119,8744.200000013001,1129.6499999995203,0,4392.250000007213,16.750000000000103,1943.4999999987801,2220.000000000268,7527.999999992245,15531.750000019147,0.8887855681675806
AMR_02,1067.8999999995765,8884.750000010956,1100.249999999547,0,4788.7000000086555,14.650000000000073,1618.9999999990753,3103.999999999096,6887.9999999931715,15856.250000018734,0.9073546873505225
AMR_03,1140.2999999995106,8865.550000011235,1111.9999999995364,0,4790.250000008661,15.600000000000087,1551.5499999991366,2953.9999999991915,6899.999999993102,15923.700000018942,0.9112144318463465
AMR_04,1158.3999999994942,8620.250000014805,1116.0999999995327,0,4859.500000008913,15.900000000000091,1705.099999998997,3037.9999999991874,6503.99999999406,15770.150000022744,0.9024277192100637
AMR_05,1140.2999999995106,8425.250000017642,1081.4999999995641,0,4480.200000007533,15.400000000000084,2332.5999999997202,2805.9999999993315,6563.999999993874,15142.650000024249,0.8665197922846927
AMR_06,1248.8999999994119,8698.550000013665,1165.9499999994873,0,4153.250000006344,17.15000000000011,2191.4499999992067,2733.999999999522,6783.999999993781,15283.800000018908,0.8745969299505676
AMR_07,1266.9999999993954,8792.850000012293,1116.849999999532,0,4095.300000006133,16.900000000000105,2186.349999999188,2533.999999999849,7275.999999992801,15288.900000017353,0.8748887712689166
AMR_08,1230.7999999994283,8882.300000010991,1126.1499999995235,0,4389.150000007202,16.850000000000104,1829.9999999988834,2783.9999999994593,6999.999999993337,15645.250000017144,0.8952804680974092
AMR_09,1140.2999999995106,8693.850000013734,1089.0999999995572,0,5076.900000009704,15.450000000000085,1459.6499999992202,2731.9999999996035,6887.99999999337,16015.600000022505,0.9164732979572269
AMR_10,1140.2999999995106,9108.4500000077,1117.849999999531,0,4268.9000000067645,15.700000000000088,1824.0499999988888,2751.99999999953,7367.99999999266,15651.200000013507,0.8956209496353787
AMR_11,1176.4999999994777,8256.100000020104,1092.7999999995538,0,4257.900000006724,16.100000000000094,2675.850000000969,2857.9999999994147,6163.999999994697,14799.40000002586,0.8468777270781503
AMR_12,1176.4999999994777,8761.100000012755,1155.7999999994965,0,4808.000000008726,16.150000000000095,1557.699999999131,3035.9999999990537,6643.999999993688,15917.550000020456,0.9108625055506697
AMR_13,1285.099999999379,8630.25000001466,1151.0999999995008,0,4171.900000006412,17.400000000000112,2219.499999999309,2493.9999999999095,6967.999999993196,15255.750000019949,0.8729918026992183
