task_id,date,store_id,workstation,release_time_s,completion_time_s,source_lines,completed_lines,status
2023-02-03/ALMA,2023-02-03,ALMA,WS_2_20,0.0,1202.1999999994543,37,37,completed
2023-02-03/AMPP,2023-02-03,AMPP,WS_13_20,0.0,5982.600000012999,299,299,completed
2023-02-03/APUR,2023-02-03,APUR,WS_25_20,0.0,374.2500000000508,3,3,completed
2023-02-03/BAMP,2023-02-03,BAMP,WS_19_20,0.0,1667.599999999031,64,64,completed
2023-02-03/BDMC,2023-02-03,BDMC,WS_19_20,0.0,5307.500000010543,136,136,completed
2023-02-03/BDRW,2023-02-03,BDRW,WS_30_20,0.0,207.4000000000129,2,2,completed
2023-02-03/BKAG,2023-02-03,BKAG,WS_13_20,0.0,9392.35000000357,115,115,completed
2023-02-03/BKSD,2023-02-03,BKSD,WS_25_20,0.0,2242.4499999993923,56,56,completed
2023-02-03/BKTM,2023-02-03,BKTM,WS_13_20,0.0,9692.499999999201,4,4,completed
2023-02-03/BLWE,2023-02-03,BLWE,WS_2_20,0.0,3087.900000002468,50,50,completed
2023-02-03/BSAR,2023-02-03,BSAR,WS_25_20,0.0,3374.35000000351,24,24,completed
2023-02-03/BURM,2023-02-03,BURM,WS_25_20,0.0,6181.200000013721,112,112,completed
2023-02-03/CTHR,2023-02-03,CTHR,WS_8_20,0.0,309.200000000036,6,6,completed
2023-02-03/DMHS,2023-02-03,DMHS,WS_8_20,0.0,396.2000000000558,5,5,completed
2023-02-03/DSET,2023-02-03,DSET,WS_8_20,0.0,3162.0500000027378,99,99,completed
2023-02-03/DSHA,2023-02-03,DSHA,WS_25_20,0.0,6478.150000014802,2,2,completed
2023-02-03/IPMG,2023-02-03,IPMG,WS_25_20,0.0,11489.349999973054,197,197,completed
2023-02-03/JETG,2023-02-03,JETG,WS_19_20,0.0,11297.94999997584,281,281,completed
2023-02-03/JHJY,2023-02-03,JHJY,WS_30_20,0.0,283.1000000000301,1,1,completed
2023-02-03/JJNG,2023-02-03,JJNG,WS_19_20,0.0,11425.349999973985,3,3,completed
2023-02-03/JKTP,2023-02-03,JKTP,WS_8_20,0.0,3565.0000000042037,10,10,completed
2023-02-03/KBES,2023-02-03,KBES,WS_2_20,0.0,3141.3500000026625,1,1,completed
2023-02-03/KELS,2023-02-03,KELS,WS_30_20,0.0,481.0500000000751,6,6,completed
2023-02-03/KIDP,2023-02-03,KIDP,WS_25_20,0.0,11723.849999969641,1,1,completed
2023-02-03/KJIN,2023-02-03,KJIN,WS_30_20,0.0,1836.0499999988779,40,40,completed
2023-02-03/KJRH,2023-02-03,KJRH,WS_2_20,0.0,7669.950000019137,137,137,completed
2023-02-03/KJSC,2023-02-03,KJSC,WS_25_20,0.0,13255.449999947354,57,57,completed
2023-02-03/KKCH,2023-02-03,KKCH,WS_8_20,0.0,6956.550000016542,105,105,completed
2023-02-03/KKDG,2023-02-03,KKDG,WS_13_20,0.0,11543.449999972267,43,43,completed
2023-02-03/KKIN,2023-02-03,KKIN,WS_2_20,0.0,8190.350000021031,7,7,completed
2023-02-03/KKLD,2023-02-03,KKLD,WS_25_20,0.0,17929.749999879336,147,147,completed
2023-02-03/KPBR,2023-02-03,KPBR,WS_2_20,0.0,8383.50000001825,4,4,completed
2023-02-03/KTTG,2023-02-03,KTTG,WS_13_20,0.0,11895.04999996715,1,1,completed
2023-02-03/KULA,2023-02-03,KULA,WS_19_20,0.0,11830.849999968084,9,9,completed
2023-02-03/MBPN,2023-02-03,MBPN,WS_19_20,0.0,12087.899999964344,2,2,completed
2023-02-03/MLP2,2023-02-03,MLP2,WS_30_20,0.0,2244.9999999994016,4,4,completed
2023-02-03/MMIM,2023-02-03,MMIM,WS_2_20,0.0,8844.950000011535,6,6,completed
2023-02-03/MMJJ,2023-02-03,MMJJ,WS_13_20,0.0,12098.749999964186,2,2,completed
2023-02-03/MMKA,2023-02-03,MMKA,WS_30_20,0.0,2473.250000000232,1,1,completed
2023-02-03/MMMA,2023-02-03,MMMA,WS_2_20,0.0,8997.15000000932,1,1,completed
2023-02-03/MMNB,2023-02-03,MMNB,WS_13_20,0.0,12645.899999956224,10,10,completed
2023-02-03/MMSA,2023-02-03,MMSA,WS_2_20,0.0,9315.400000004689,7,7,completed
2023-02-03/MMSI,2023-02-03,MMSI,WS_2_20,0.0,9314.400000004704,1,1,completed
2023-02-03/MMTU,2023-02-03,MMTU,WS_19_20,0.0,12350.099999960528,1,1,completed
2023-02-03/PAGU,2023-02-03,PAGU,WS_30_20,0.0,2861.0500000016427,5,5,completed
2023-02-03/PANJ,2023-02-03,PANJ,WS_30_20,0.0,7873.95000001988,157,157,completed
2023-02-03/PMJY,2023-02-03,PMJY,WS_8_20,0.0,7593.050000018858,5,5,completed
2023-02-03/PUJA,2023-02-03,PUJA,WS_13_20,0.0,14738.69999992577,62,62,completed
2023-02-03/RUDA,2023-02-03,RUDA,WS_8_20,0.0,11156.699999977895,149,149,completed
2023-02-03/SEBR,2023-02-03,SEBR,WS_25_20,0.0,21778.49999982333,189,189,completed
2023-02-03/SEMY,2023-02-03,SEMY,WS_19_20,0.0,14829.499999924448,92,92,completed
2023-02-03/SETA,2023-02-03,SETA,WS_30_20,0.0,13289.199999946863,238,238,completed
2023-02-03/SPER,2023-02-03,SPER,WS_30_20,0.0,16149.699999905237,85,85,completed
2023-02-03/SRPA,2023-02-03,SRPA,WS_8_20,0.0,16440.149999901012,240,240,completed
2023-02-03/SRSD,2023-02-03,SRSD,WS_8_20,0.0,18340.799999873354,60,60,completed
2023-02-03/SS14,2023-02-03,SS14,WS_13_20,0.0,18857.94999986583,123,123,completed
2023-02-03/TGYA,2023-02-03,TGYA,WS_30_20,0.0,16410.949999901437,2,2,completed
2023-02-03/TJKR,2023-02-03,TJKR,WS_30_20,0.0,19831.899999851656,155,155,completed
2023-02-03/TMBM,2023-02-03,TMBM,WS_19_20,0.0,15072.949999920906,1,1,completed
2023-02-03/TMCO,2023-02-03,TMCO,WS_25_20,0.0,22015.39999981988,2,2,completed
2023-02-03/TMDY,2023-02-03,TMDY,WS_25_20,0.0,22147.149999817964,7,7,completed
2023-02-03/TMMI,2023-02-03,TMMI,WS_13_20,0.0,19174.349999861224,3,3,completed
2023-02-03/TMMU,2023-02-03,TMMU,WS_13_20,0.0,19477.949999856806,5,5,completed
2023-02-03/TMNU,2023-02-03,TMNU,WS_30_20,0.0,19820.099999851827,3,3,completed
2023-02-03/TMTM,2023-02-03,TMTM,WS_19_20,0.0,18760.399999867248,119,119,completed
2023-02-03/TMYL,2023-02-03,TMYL,WS_8_20,0.0,18456.149999871675,1,1,completed
2023-02-03/TPAN,2023-02-03,TPAN,WS_13_20,0.0,22813.849999808263,147,147,completed
2023-02-03/TPKA,2023-02-03,TPKA,WS_2_20,0.0,11901.349999967058,102,102,completed
2023-02-03/TSDA,2023-02-03,TSDA,WS_8_20,0.0,21052.74999983389,78,78,completed
2023-02-03/TSGB,2023-02-03,TSGB,WS_2_20,0.0,17234.149999889458,216,216,completed
2023-02-03/TSUS,2023-02-03,TSUS,WS_2_20,0.0,17765.24999988173,1,1,completed
2023-02-03/TTNG,2023-02-03,TTNG,WS_19_20,0.0,20573.19999984087,48,48,completed
2023-02-03/VVSM,2023-02-03,VVSM,WS_2_20,0.0,20106.949999847653,76,76,completed
