robot,handling_service_seconds,translation_seconds,rotation_seconds,safety_blocking_seconds,reservation_path_wait_seconds,other_active_wait_seconds,idle_seconds,empty_distance_m,loaded_distance_m,busy_seconds,utilization
AMR_01,1085.99999999956,8131.000000020815,1033.8499999996075,0,4587.300000007923,14.700000000000074,2092.0999999988453,2675.999999999656,6407.999999994168,14852.850000027905,0.8765354869811425
AMR_02,1104.0999999995436,8146.850000020872,1081.8499999995638,0,5083.1000000097265,14.900000000000077,1514.1499999991706,2242.000000000213,6695.9999999940055,15430.800000029705,0.9106429939378126
AMR_03,1085.99999999956,7983.350000020278,1051.2499999995916,0,5112.850000009835,14.600000000000072,1696.8999999990044,2601.9999999998154,6199.999999994313,15248.050000029265,0.8998580698157829
AMR_04,1104.0999999995436,8113.650000020752,1097.8499999995493,0,5110.500000009826,15.000000000000078,1503.84999999918,2621.9999999997117,6207.999999994704,15441.10000002967,0.9112508446543995
AMR_05,1104.0999999995436,8383.150000018255,1078.0499999995673,0,4461.150000007464,15.000000000000078,1903.4999999988165,2274.000000000185,7007.999999993372,15041.45000002483,0.8876656467041342
AMR_06,1085.99999999956,8356.05000001865,1047.3999999995951,0,4312.100000006922,14.650000000000073,2128.7499999989786,2545.9999999997895,6863.999999992757,14816.200000024726,0.8743726006932863
AMR_07,1212.6999999994448,8778.250000012506,1178.9499999994755,0,4289.500000006839,16.4500000000001,1469.0999999992116,3235.999999998777,6487.999999994122,15475.850000018265,0.9133016031393058
AMR_08,1158.3999999994942,8174.350000020972,1016.3499999996234,0,4788.200000008654,15.500000000000085,1792.1499999989178,2236.0000000002738,6803.999999993685,15152.800000028745,0.894236926053121
AMR_09,1085.99999999956,8239.15000002035,1120.2999999995288,0,4321.800000006957,14.950000000000077,2162.7499999991023,2527.999999999816,6483.999999994133,14782.200000026396,0.8723661031823143
AMR_10,1158.3999999994942,8383.250000018254,1063.3999999995806,0,4233.250000006635,15.650000000000087,2090.9999999988413,2455.9999999999254,6867.999999993274,14853.950000023962,0.8766004030768562
AMR_11,1085.99999999956,7715.800000019304,1000.6999999996376,0,5015.550000009481,14.800000000000075,2112.099999998918,2635.9999999996553,5675.999999995746,14832.850000027982,0.8753551943275761
AMR_12,1067.8999999995765,7876.450000019889,1017.1499999996227,0,4919.800000009132,14.550000000000072,2049.099999998689,2258.0000000002356,6471.999999993879,14895.85000002822,0.8790731161863384
AMR_13,1104.0999999995436,8025.100000020429,1019.5499999996205,0,4928.700000009165,14.950000000000077,1852.5499999988629,2390.000000000029,6467.999999993942,15092.40000002876,0.8906724422393378
AMR_14,1085.99999999956,8413.150000017818,1102.499999999545,0,4281.050000006809,14.800000000000075,2047.4499999986856,2997.9999999992096,6435.999999994129,14897.50000002373,0.8791704903299931
