task_id,date,store_id,workstation,release_time_s,completion_time_s,source_lines,completed_lines,status
2023-01-03/AMPP,2023-01-03,AMPP,WS_13_20,0.0,716.0999999998965,30,30,completed
2023-01-03/APUR,2023-01-03,APUR,WS_25_20,0.0,579.7000000000205,14,14,completed
2023-01-03/BDBU,2023-01-03,BDBU,WS_19_20,0.0,456.3500000000695,14,14,completed
2023-01-03/BDMC,2023-01-03,BDMC,WS_19_20,0.0,934.8999999996975,19,19,completed
2023-01-03/BDPP,2023-01-03,BDPP,WS_2_20,0.0,473.1000000000733,7,7,completed
2023-01-03/BDRW,2023-01-03,BDRW,WS_30_20,0.0,410.95000000005916,14,14,completed
2023-01-03/BHAU,2023-01-03,BHAU,WS_30_20,0.0,640.3999999999653,3,3,completed
2023-01-03/BIFG,2023-01-03,BIFG,WS_25_20,0.0,822.8499999997994,2,2,completed
2023-01-03/BKIN,2023-01-03,BKIN,WS_8_20,0.0,468.60000000007227,7,7,completed
2023-01-03/BKPS,2023-01-03,BKPS,WS_25_20,0.0,1040.7999999996011,4,4,completed
2023-01-03/BKSD,2023-01-03,BKSD,WS_25_20,0.0,1864.7499999988518,26,26,completed
2023-01-03/BLOS,2023-01-03,BLOS,WS_25_20,0.0,1967.799999998758,2,2,completed
2023-01-03/BNUT,2023-01-03,BNUT,WS_13_20,0.0,848.0999999997764,1,1,completed
2023-01-03/BSAR,2023-01-03,BSAR,WS_25_20,0.0,2258.4499999994505,9,9,completed
2023-01-03/CENT,2023-01-03,CENT,WS_8_20,0.0,1766.9499999989407,58,58,completed
2023-01-03/CTHR,2023-01-03,CTHR,WS_8_20,0.0,2479.600000000255,19,19,completed
2023-01-03/CTSQ,2023-01-03,CTSQ,WS_13_20,0.0,4172.350000006413,178,178,completed
2023-01-03/DEPE,2023-01-03,DEPE,WS_13_20,0.0,4391.950000007212,6,6,completed
2023-01-03/DESA,2023-01-03,DESA,WS_19_20,0.0,1331.349999999337,10,10,completed
2023-01-03/DMHS,2023-01-03,DMHS,WS_8_20,0.0,2905.650000001805,12,12,completed
2023-01-03/DSHA,2023-01-03,DSHA,WS_25_20,0.0,2681.1500000009883,7,7,completed
2023-01-03/DSKD,2023-01-03,DSKD,WS_19_20,0.0,1986.6999999987409,8,8,completed
2023-01-03/GLPT,2023-01-03,GLPT,WS_30_20,0.0,820.0999999998019,3,3,completed
2023-01-03/HQMW,2023-01-03,HQMW,WS_19_20,0.0,2148.4999999990505,1,1,completed
2023-01-03/IPBC,2023-01-03,IPBC,WS_8_20,0.0,3002.650000002158,3,3,completed
2023-01-03/IPGD,2023-01-03,IPGD,WS_25_20,0.0,2971.900000002046,3,3,completed
2023-01-03/IPMG,2023-01-03,IPMG,WS_25_20,0.0,3058.1000000023596,1,1,completed
2023-01-03/JJNG,2023-01-03,JJNG,WS_19_20,0.0,2262.749999999466,1,1,completed
2023-01-03/JLTS,2023-01-03,JLTS,WS_25_20,0.0,3208.6500000029073,1,1,completed
2023-01-03/JMNS,2023-01-03,JMNS,WS_2_20,0.0,575.900000000024,1,1,completed
2023-01-03/KAMP,2023-01-03,KAMP,WS_8_20,0.0,3291.2000000032076,2,2,completed
2023-01-03/KBES,2023-01-03,KBES,WS_2_20,0.0,3169.300000002764,119,119,completed
2023-01-03/KCTJ,2023-01-03,KCTJ,WS_30_20,0.0,1042.1499999996,11,11,completed
2023-01-03/KELS,2023-01-03,KELS,WS_30_20,0.0,1237.8999999994219,5,5,completed
2023-01-03/KIDP,2023-01-03,KIDP,WS_25_20,0.0,3501.000000003971,4,4,completed
2023-01-03/KJIN,2023-01-03,KJIN,WS_30_20,0.0,2289.649999999564,29,29,completed
2023-01-03/KJRH,2023-01-03,KJRH,WS_2_20,0.0,5272.550000010416,96,96,completed
2023-01-03/KJSC,2023-01-03,KJSC,WS_25_20,0.0,4137.750000006287,9,9,completed
2023-01-03/KLGU,2023-01-03,KLGU,WS_2_20,0.0,6107.350000013453,17,17,completed
2023-01-03/KOLA,2023-01-03,KOLA,WS_19_20,0.0,5236.050000010283,167,167,completed
2023-01-03/KOMA,2023-01-03,KOMA,WS_25_20,0.0,4820.25000000877,26,26,completed
2023-01-03/KPAS,2023-01-03,KPAS,WS_30_20,0.0,5206.050000010174,120,120,completed
2023-01-03/KPBR,2023-01-03,KPBR,WS_2_20,0.0,7420.850000018231,18,18,completed
2023-01-03/KTUN,2023-01-03,KTUN,WS_8_20,0.0,5944.600000012861,146,146,completed
2023-01-03/KULA,2023-01-03,KULA,WS_19_20,0.0,6074.500000013333,11,11,completed
2023-01-03/LARK,2023-01-03,LARK,WS_30_20,0.0,8021.400000020416,107,107,completed
2023-01-03/MMIM,2023-01-03,MMIM,WS_2_20,0.0,8905.700000010651,54,54,completed
2023-01-03/MMJJ,2023-01-03,MMJJ,WS_13_20,0.0,4851.350000008883,7,7,completed
2023-01-03/MMMR,2023-01-03,MMMR,WS_8_20,0.0,6164.150000013659,3,3,completed
2023-01-03/MMNB,2023-01-03,MMNB,WS_13_20,0.0,5161.10000001001,2,2,completed
2023-01-03/MMPL,2023-01-03,MMPL,WS_13_20,0.0,9329.250000004487,165,165,completed
2023-01-03/MMSA,2023-01-03,MMSA,WS_2_20,0.0,9075.100000008186,6,6,completed
2023-01-03/MMST,2023-01-03,MMST,WS_8_20,0.0,8061.800000020563,56,56,completed
2023-01-03/MMTI,2023-01-03,MMTI,WS_13_20,0.0,9549.550000001282,3,3,completed
2023-01-03/MMTU,2023-01-03,MMTU,WS_19_20,0.0,8763.850000012715,92,92,completed
2023-01-03/MSAI,2023-01-03,MSAI,WS_30_20,0.0,8796.000000012247,26,26,completed
2023-01-03/MTKB,2023-01-03,MTKB,WS_13_20,0.0,12257.14999996188,127,127,completed
2023-01-03/PAGU,2023-01-03,PAGU,WS_30_20,0.0,9671.599999999506,32,32,completed
2023-01-03/PANJ,2023-01-03,PANJ,WS_30_20,0.0,10230.349999991375,17,17,completed
2023-01-03/PERL,2023-01-03,PERL,WS_13_20,0.0,12519.349999958065,4,4,completed
2023-01-03/PJOT,2023-01-03,PJOT,WS_8_20,0.0,8498.850000016571,10,10,completed
2023-01-03/PKMT,2023-01-03,PKMT,WS_13_20,0.0,12509.549999958208,2,2,completed
2023-01-03/PMJY,2023-01-03,PMJY,WS_8_20,0.0,8624.05000001475,6,6,completed
2023-01-03/PONT,2023-01-03,PONT,WS_2_20,0.0,9258.000000005524,3,3,completed
2023-01-03/PULA,2023-01-03,PULA,WS_2_20,0.0,14064.099999935586,211,211,completed
2023-01-03/PUPT,2023-01-03,PUPT,WS_19_20,0.0,8756.900000012816,1,1,completed
2023-01-03/SEBR,2023-01-03,SEBR,WS_25_20,0.0,7002.450000016709,68,68,completed
2023-01-03/SEMY,2023-01-03,SEMY,WS_19_20,0.0,9298.700000004932,10,10,completed
2023-01-03/SPER,2023-01-03,SPER,WS_30_20,0.0,10783.049999983332,15,15,completed
2023-01-03/SPRG,2023-01-03,SPRG,WS_25_20,0.0,7652.500000019074,2,2,completed
