sku,chilled_required
101024,true
101039,true
101091,true
101094,true
101103,true
101107,true
101151,true
101158,true
101163,true
101192,true
101235,true
101266,true
101280,true
101288,true
101311,true
101322,true
104397,true
107095,true
107103,true
107105,true
107116,true
107133,true
107144,true
107173,true
107177,true
107195,true
107237,true
107287,true
107290,true
107301,true
107336,true
107347,true
107383,true
107387,true
107398,true
107400,true
107439,true
110153,true
110170,true
110195,true
110198,true
110201,true
110210,true
110218,true
110220,true
110222,true
110228,true
110241,true
110246,true
110255,true
110291,true
110295,true
110305,true
110339,true
110343,true
110344,true
110349,true
110351,true
110356,true
110378,true
110386,true
110428,true
110437,true
110438,true
110494,true
110496,true
110518,true
110548,true
110561,true
110574,true
110601,true
110615,true
110623,true
110624,true
111207,true
111226,true
111258,true
111263,true
111264,true
111268,true
111275,true
111317,true
111328,true
111335,true
111964,true
111996,true
111997,true
112013,true
112040,true
112194,true
112210,true
112230,true
112231,true
112252,true
112278,true
112367,true
112392,true
112440,true
113097,true
114762,true
115355,true
115589,true
115591,true
115771,true
117002,true
117418,true
117429,true
118459,true
118512,true
119948,true
121710,true
121937,true
122555,true
122682,true
122697,true
123128,true
123129,true
123753,true
124012,true
124233,true
124994,true
125462,true
125469,true
126345,true
126347,true
127405,true
127444,true
127465,true
127627,true
129782,true
130718,true
131656,true
132278,true
133206,true
134101,true
134553,true
134611,true
134659,true
134677,true
134817,true
135420,true
136877,true
136918,true
136967,true
138661,true
138935,true
139114,true
140015,true
140016,true
141276,true
149398,true
149642,true
