sku,max_item_length,max_item_width,max_item_height,max_item_weight,chilled,tablet,flammable
100167,0.047,0.067,0.05,0.03012,false,true,false
100949,0.065,0.089,0.022,0.02435,false,false,true
101012,0.145,0.025,0.075,0.03726,false,true,false
101013,0.034,0.163,0.07,0.025,false,false,false
101014,0.062,0.122,0.023,0.02,false,true,false
101015,0.12,0.025,0.06,0.02467,false,true,false
101016,0.047,0.05,0.125,0.0463,false,true,false
101017,0.04,0.04,0.088,0.02694,false,true,false
101018,0.049,0.112,0.067,0.02,false,true,false
101019,0.045,0.045,0.075,0.02906,false,false,false
101020,0.039,0.041,0.089,0.05,false,false,false
101021,0.084,0.131,0.044,0.045,false,true,false
101022,0.145,0.03,0.073,0.06076,false,false,false
101024,0.042,0.042,0.065,0.02194,true,true,false
101025,0.042,0.07,0.07,0.045,false,true,false
101026,0.04,0.042,0.069,0.025,false,true,false
101027,0.042,0.042,0.065,0.02194,false,true,false
101028,0.043,0.043,0.065,0.02299,false,false,false
101030,0.137,0.03,0.035,0.02752,false,true,false
101031,0.2,0.071,0.081,0.15765,false,false,false
101032,0.08,0.037,0.072,0.04078,false,true,false
101033,0.038,0.128,0.05,0.03,false,true,false
101036,0.063,0.105,0.04,0.015,false,false,false
101039,0.043,0.043,0.075,0.01901,true,true,false
101043,0.047,0.067,0.05,0.03012,false,false,false
101044,0.11,0.032,0.062,0.04176,false,true,false
101045,0.095,0.02,0.07,0.01823,false,false,false
101053,0.155,0.02,0.055,0.02337,false,false,false
101056,0.145,0.035,0.08,0.05565,false,true,false
101059,0.047,0.067,0.05,0.03012,false,false,false
101060,0.035,0.112,0.047,0.015,false,false,false
101061,0.038,0.123,0.078,0.035,false,true,false
101063,0.154,0.025,0.075,0.05525,false,false,true
101065,0.091,0.03,0.06,0.02245,false,false,false
101066,0.063,0.063,0.123,0.06,false,true,false
101067,0.047,0.067,0.05,0.03012,false,false,false
101068,0.049,0.049,0.097,0.04456,false,true,false
101069,0.071,0.094,0.06,0.05488,false,false,false
101071,0.042,0.168,0.097,0.025,false,false,true
101072,0.058,0.131,0.067,0.05,false,true,false
101073,0.04,0.114,0.057,0.06,false,false,false
101074,0.066,0.133,0.069,0.125,false,false,true
101075,0.135,0.06,0.095,0.13,false,false,false
101076,0.061,0.112,0.066,0.1,false,true,false
101077,0.036,0.128,0.048,0.045,false,true,false
101080,0.058,0.094,0.024,0.03,false,true,false
101082,0.071,0.094,0.06,0.05488,false,false,true
101084,0.043,0.173,0.068,0.07,false,false,true
101085,0.097,0.02,0.057,0.02116,false,true,false
101089,0.13,0.03,0.06,0.04477,false,true,false
101090,0.09,0.08,0.14,0.13,false,true,false
101091,0.035,0.091,0.05,0.02,true,true,false
101092,0.105,0.02,0.104,0.04179,false,false,false
101093,0.038,0.091,0.06,0.01,false,true,false
101094,0.047,0.134,0.091,0.065,true,false,false
101095,0.075,0.102,0.023,0.01,false,false,false
101096,0.064,0.06,0.13,0.09551,false,true,false
101097,0.044,0.044,0.097,0.03593,false,false,false
101099,0.048,0.048,0.125,0.04457,false,false,false
101101,0.042,0.126,0.062,0.02,false,false,false
101102,0.071,0.094,0.06,0.05488,false,true,false
101103,0.058,0.058,0.13,0.08367,true,false,true
101104,0.067,0.128,0.032,0.025,false,true,false
101105,0.04,0.04,0.085,0.02602,false,false,false
101106,0.04,0.098,0.04,0.03,false,false,false
101107,0.11,0.018,0.045,0.01221,true,true,false
101109,0.037,0.127,0.077,0.015,false,false,false
101110,0.078,0.132,0.033,0.06,false,true,false
101112,0.048,0.14,0.069,0.24,false,true,false
101116,0.035,0.112,0.067,0.02,false,true,false
101117,0.042,0.042,0.065,0.02194,false,true,false
101122,0.147,0.05,0.096,0.09671,false,false,false
101125,0.042,0.042,0.12,0.0405,false,false,false
101126,0.051,0.131,0.071,0.085,false,false,false
101128,0.125,0.018,0.06,0.0185,false,true,false
101133,0.047,0.067,0.05,0.03012,false,true,false
101134,0.1,0.02,0.04,0.01096,false,true,false
101135,0.05,0.087,0.065,0.065,false,false,false
101137,0.065,0.04,0.142,0.07064,false,true,false
101138,0.071,0.094,0.06,0.05488,false,true,false
101141,0.04,0.04,0.095,0.02083,false,true,false
101143,0.077,0.084,0.14,0.22,false,true,false
101144,0.083,0.02,0.101,0.03208,false,false,false
101145,0.083,0.02,0.1,0.03176,false,false,false
101146,0.041,0.03,0.1,0.02353,false,false,false
101147,0.04,0.03,0.118,0.02709,false,true,false
101149,0.054,0.035,0.091,0.03291,false,true,false
101150,0.045,0.035,0.115,0.03465,false,false,true
101151,0.042,0.07,0.096,0.08,true,true,false
101153,0.048,0.048,0.11,0.03922,false,false,true
101154,0.04,0.071,0.127,0.105,false,false,false
101155,0.052,0.107,0.038,0.07,false,true,false
101157,0.055,0.055,0.12,0.06945,false,true,false
101158,,,,,true,true,false
101159,0.045,0.05,0.108,0.04649,false,true,false
