sku,observation_start,observation_end,observation_days,total_demand_ea,total_demand_uom,average_daily_demand_ea,average_daily_demand_uom,minimum_stock_days,minimum_stock_ea,minimum_stock_uom,buffer_stock_days,minimum_buffer_stock_ea,minimum_buffer_stock_uom,total_required_ea,total_slotted_ea,uom_conversion_qty,total_required_uom,total_slotted_uom,attribute_combination,units_per_slot,slots_per_unit,occupied_level_span,occupied_horizontal_slot_span,required_slots,required_racks,rack_calculation_status
100167,2023-01-03,2023-07-31,210,1183.0,1183.0,5.6333,5.6333,2,12,12,1,5,5,17,17,1.0,17,17,chilled=F · tablet=T · flammable=F · oversize=F,415,1,1,1,1,1,CALCULATED
100949,2023-01-03,2023-07-31,210,5993.0,5993.0,28.5381,28.5381,2,58,58,1,28,28,86,86,1.0,86,86,chilled=F · tablet=F · flammable=T · oversize=F,513,1,1,1,1,1,CALCULATED
101012,2023-01-03,2023-07-31,210,21063.0,7021.0,100.3,33.4333,2,201,67,1,100,34,301,303,3.0,101,101,chilled=F · tablet=T · flammable=F · oversize=F,335,1,1,1,1,1,CALCULATED
101013,2023-01-03,2023-07-31,210,9828.0,4914.0,46.8,23.4,2,94,47,1,47,24,141,142,2.0,71,71,chilled=F · tablet=F · flammable=F · oversize=F,500,1,1,1,1,1,CALCULATED
101014,2023-01-03,2023-07-31,210,14238.0,7119.0,67.8,33.9,2,136,68,1,68,34,204,204,2.0,102,102,chilled=F · tablet=T · flammable=F · oversize=F,625,1,1,1,1,1,CALCULATED
101015,2023-01-03,2023-07-31,210,14448.0,4816.0,68.8,22.9333,2,138,46,1,69,23,207,207,3.0,69,69,chilled=F · tablet=T · flammable=F · oversize=F,506,1,1,1,1,1,CALCULATED
101016,2023-01-03,2023-07-31,210,26316.0,4386.0,125.3143,20.8857,2,251,42,1,125,21,376,378,6.0,63,63,chilled=F · tablet=T · flammable=F · oversize=F,269,1,1,1,2,1,CALCULATED
101017,2023-01-03,2023-07-31,210,1104.0,1104.0,5.2571,5.2571,2,11,11,1,5,5,16,16,1.0,16,16,chilled=F · tablet=T · flammable=F · oversize=F,463,1,1,1,1,1,CALCULATED
101018,2023-01-03,2023-07-31,210,32577.0,10859.0,155.1286,51.7095,2,311,104,1,155,52,466,468,3.0,156,156,chilled=F · tablet=T · flammable=F · oversize=F,625,1,1,1,1,1,CALCULATED
101019,2023-01-03,2023-07-31,210,52.0,52.0,0.2476,0.2476,2,1,1,1,0,0,1,1,1.0,1,1,chilled=F · tablet=F · flammable=F · oversize=F,430,1,1,1,1,1,CALCULATED
101020,2023-01-03,2023-07-31,210,2861.0,2861.0,13.6238,13.6238,2,28,28,1,13,13,41,41,1.0,41,41,chilled=F · tablet=F · flammable=F · oversize=F,250,1,1,1,1,1,CALCULATED
101021,2023-01-03,2023-07-31,210,963.0,963.0,4.5857,4.5857,2,10,10,1,4,4,14,14,1.0,14,14,chilled=F · tablet=T · flammable=F · oversize=F,277,1,1,1,1,1,CALCULATED
101022,2023-01-03,2023-07-31,210,4927.0,4927.0,23.4619,23.4619,2,47,47,1,24,24,71,71,1.0,71,71,chilled=F · tablet=F · flammable=F · oversize=F,205,1,1,1,1,1,CALCULATED
101024,2023-01-03,2023-07-31,210,9647.0,9647.0,45.9381,45.9381,2,92,92,1,46,46,138,138,1.0,138,138,chilled=T · tablet=T · flammable=F · oversize=F,569,1,1,1,1,1,CALCULATED
101025,2023-01-03,2023-07-31,210,8215.0,8215.0,39.119,39.119,2,79,79,1,39,39,118,118,1.0,118,118,chilled=F · tablet=T · flammable=F · oversize=F,277,1,1,1,1,1,CALCULATED
101026,2023-01-03,2023-07-31,210,4288.0,4288.0,20.419,20.419,2,41,41,1,21,21,62,62,1.0,62,62,chilled=F · tablet=T · flammable=F · oversize=F,500,1,1,1,1,1,CALCULATED
