Item or SKU,UOM,UOM ConversionQty,Date,Store ID,UOM status
101016,PK1,6,2023-04-15 00:00:00,BDPP,COMMON
101016,EA,1,2023-04-15 00:00:00,IPMG,UNCOMMON

101099,EA6,6,2023-04-03 00:00:00,SRM2,COMMON
101099,EA,1,2023-06-23 00:00:00,AMPP,UNCOMMON

101102,PK,12,2023-01-03 00:00:00,PANJ,COMMON
101102,EA,1,2023-02-08 00:00:00,GLPT,UNCOMMON

101107,PK,10,2023-03-17 00:00:00,TMML,COMMON
101107,EA,1,2023-01-20 00:00:00,SRPA,UNCOMMON

101110,EA,1,2023-01-05 00:00:00,TLPK,COMMON
101110,PK1,0.33,2023-06-30 00:00:00,BHAU,UNCOMMON

101141,PK,48,2023-02-28 00:00:00,TKLN,COMMON
101141,EA,1,2023-06-01 00:00:00,WAP2,UNCOMMON

101153,EA6,6,2023-01-03 00:00:00,AMPP,COMMON
101153,EA,1,2023-03-17 00:00:00,AMPP,UNCOMMON

101192,PK,40,2023-01-03 00:00:00,AMPP,COMMON
101192,EA,1,2023-01-06 00:00:00,JLBB,UNCOMMON

101203,EA,1,2023-01-03 00:00:00,CTHR,COMMON
101203,PK,6,2023-06-07 00:00:00,KCTJ,UNCOMMON

101330,PK,8,2023-01-03 00:00:00,KTUN,COMMON
101330,EA,1,2023-04-10 00:00:00,CORP,UNCOMMON

104356,EA,1,2023-01-10 00:00:00,WTML,COMMON
104356,PK,12,2023-03-17 00:00:00,BAMP,UNCOMMON

104505,PK,12,2023-01-16 00:00:00,PUJA,COMMON
104505,EA,1,2023-01-16 00:00:00,TSEG,UNCOMMON

107102,PK,2,2023-01-04 00:00:00,PSTR,COMMON
107102,EA,1,2023-05-10 00:00:00,SETA,UNCOMMON

107104,EA6,6,2023-05-28 00:00:00,BLOS,COMMON
107104,EA,1,2023-03-27 00:00:00,SRIP,UNCOMMON

107106,EA,1,2023-01-03 00:00:00,PAGU,COMMON
107106,PK,50,2023-04-11 00:00:00,TSTK,UNCOMMON

107166,EA,1,2023-07-18 00:00:00,KPAS,COMMON
107166,PK,6,2023-03-25 00:00:00,SS19,UNCOMMON

107175,PK,5,2023-01-26 00:00:00,MLP2,COMMON
107175,EA,1,2023-01-03 00:00:00,KJRH,UNCOMMON

107226,EA6,6,2023-06-03 00:00:00,BJLT,COMMON
107226,EA,1,2023-06-03 00:00:00,WBEN,UNCOMMON

107301,PK,12,2023-01-03 00:00:00,MMPL,COMMON
107301,EA,1,2023-01-03 00:00:00,MMTU,UNCOMMON

