sku,raw_uom_conversion_qty
101016,EA=1; PK1=6
101099,EA=1; EA6=6
101102,EA=1; PK=12
101107,EA=1; PK=10
101110,EA=1; PK1=0.33
101141,EA=1; PK=48
101153,EA=1; EA6=6
101192,EA=1; PK=40
101203,EA=1; PK=6
101330,EA=1; PK=8
104356,EA=1; PK=12
104505,EA=1; PK=12
107102,EA=1; PK=2
107104,EA=1; EA6=6
107106,EA=1; PK=50
107166,EA=1; PK=6
107175,EA=1; PK=5
107226,EA=1; EA6=6
107301,EA=1; PK=12
107452,EA=1; EA1=0.1
107573,BX=20; EA=1
109969,EA=1; PK=12
110172,EA=1; PK=100
110180,EA=1; EA1=10
110215,EA=1; PK=2
110220,EA=1; EA1=10
110262,EA=1; PK=3
110284,EA=1; PK=2
110324,EA=1; PK=6
110377,EA=1; PK=10
110428,EA=1; PK=10
110436,EA=1; PK=10
110469,EA=1; PK=10
110473,EA=1; PK=5
110489,EA=1; EA2=10
110512,BX=6; PK=2
110542,EA=1; EA1=10; PK=50
111212,EA=1; PK=10
111237,EA=1; PK=10
111238,EA=1; PK=10
111266,PK=50; PK1=10
111279,EA=1; EA1=10; PK=100
111283,EA=1; PK=10
111321,BX=100; EA=1
111330,EA=1; PK=20
111377,EA=1; PK=8
111380,EA1=2; PK=10
111383,EA=1; PK=6
112061,BX=20; BX5=5
112203,EA=1; PK=3
112266,EA=1; EA1=10
112272,EA=1; EA1=10
112302,EA=1; PK=12
113209,BX=20; EA=1
115584,EA=1; EA6=6
115794,EA=1; EA1=10
115951,EA=1; PK=100
117010,EA=1; PK=50
117011,EA=1; PK=12
117030,EA1=10; PK=100
117084,BX=20; EA=1
118396,EA=1; PK=50
119644,BX=20; EA=1
120257,EA=1; PK=100
121914,EA=1; PK=100
122675,EA=1; PK=50
122778,EA=1; PK=10
123128,EA=1; PK=10
125413,EA=1; PK=10
125583,EA=1; PK=10
127405,EA1=2; PK=4
131653,EA=1; PK=12
133306,EA=1; PK=12
134484,EA=1; PK=10
134660,EA=1; PK=10
134698,EA=1; PK=3
134817,EA=1; PK=3
136877,EA=1; PK=20
136957,EA=1; PK=24
137562,BX=10; EA=1
139147,EA=1; PK=72
140082,EA=1; PK1=10
140084,CTN=50; EA=1
