sku,pick_frequency,total_quantity_ea,active_days,cumulative_frequency_share,velocity_class,req_max_item_length,req_max_item_width,req_max_item_height,req_max_item_weight,physical_data_status,physical_storage_class
135075,4962,120155.0,71,0.005048,A,,,,,MISSING,UNVERIFIED_OVERSIZE
123094,4181,71528.0,155,0.009301,A,,,,,MISSING,UNVERIFIED_OVERSIZE
124702,3964,46229.0,178,0.013334,A,5.6,12.2,2.7,15.0,COMPLETE,STANDARD
134029,3459,208430.0,178,0.016853,A,,,,,MISSING,UNVERIFIED_OVERSIZE
107238,3390,65803.0,177,0.020301,A,5.6,10.0,3.9,50.0,COMPLETE,STANDARD
132437,3283,778470.0,168,0.023641,A,,,,,MISSING,UNVERIFIED_OVERSIZE
101290,3096,33100.0,177,0.026791,A,9.3,2.0,6.5,,MISSING,UNVERIFIED_OVERSIZE
110604,3088,81432.0,168,0.029932,A,6.1,3.1,11.2,,MISSING,UNVERIFIED_OVERSIZE
101329,2990,64112.0,177,0.032974,A,5.1,14.9,10.2,95.0,COMPLETE,STANDARD
124211,2980,84124.0,176,0.036005,A,5.9,8.5,2.6,8.0,COMPLETE,STANDARD
111376,2956,179830.0,178,0.039013,A,4.4,8.5,6.0,,MISSING,UNVERIFIED_OVERSIZE
110233,2872,83397.0,156,0.041934,A,11.5,2.2,5.5,,MISSING,UNVERIFIED_OVERSIZE
110255,2853,92420.0,164,0.044837,A,4.3,12.4,5.5,15.0,COMPLETE,STANDARD
127627,2853,35860.0,177,0.047739,A,,,,,MISSING,UNVERIFIED_OVERSIZE
110231,2834,55780.0,167,0.050622,A,7.5,14.6,2.6,254.0,COMPLETE,OVERWEIGHT
112034,2810,88050.0,178,0.053481,A,4.0,3.0,9.7,,MISSING,UNVERIFIED_OVERSIZE
111276,2791,137720.0,178,0.05632,A,4.4,8.5,6.0,,MISSING,UNVERIFIED_OVERSIZE
124704,2744,137420.0,162,0.059111,A,4.1,10.4,5.7,50.0,COMPLETE,STANDARD
133300,2744,21390.0,167,0.061903,A,3.7,11.6,3.0,50.0,COMPLETE,STANDARD
110225,2734,48278.0,164,0.064684,A,14.6,2.0,6.5,,MISSING,UNVERIFIED_OVERSIZE
110601,2710,32908.0,165,0.067441,A,7.5,14.7,2.5,15.0,COMPLETE,STANDARD
112056,2692,74673.0,172,0.07018,A,5.0,11.8,3.9,30.0,COMPLETE,STANDARD
107120,2659,14175.0,163,0.072885,A,10.2,2.0,5.2,,MISSING,UNVERIFIED_OVERSIZE
125583,2639,56069.0,177,0.075569,A,8.4,9.1,16.8,30.0,COMPLETE,OVERSIZE
111249,2629,31130.0,169,0.078244,A,3.7,14.4,6.0,15.0,COMPLETE,STANDARD
110166,2612,64875.0,177,0.080901,A,9.0,3.5,14.5,,MISSING,UNVERIFIED_OVERSIZE
110592,2594,56520.0,177,0.08354,A,6.2,17.2,9.5,60.0,COMPLETE,OVERSIZE
123272,2564,7023.0,178,0.086148,A,4.1,4.1,10.4,60.0,COMPLETE,STANDARD
121833,2544,108110.0,157,0.088736,A,4.2,10.2,3.4,20.0,COMPLETE,STANDARD
112029,2498,39420.0,156,0.091277,A,11.0,2.5,8.2,,MISSING,UNVERIFIED_OVERSIZE
101095,2487,28312.0,164,0.093807,A,7.5,10.2,2.3,10.0,COMPLETE,STANDARD
110475,2475,59409.0,168,0.096325,A,5.6,12.6,5.5,640.0,COMPLETE,OVERWEIGHT
110148,2473,96180.0,178,0.098841,A,4.4,11.4,6.1,45.0,COMPLETE,STANDARD
101330,2460,79871.0,172,0.101344,A,8.7,15.0,9.9,165.0,COMPLETE,STANDARD
112288,2459,16666.0,166,0.103845,A,3.8,11.5,2.5,25.0,COMPLETE,STANDARD
110185,2440,56181.0,167,0.106327,A,4.0,11.6,6.5,,MISSING,UNVERIFIED_OVERSIZE
123305,2422,10484.0,178,0.108791,A,7.3,16.7,4.2,,MISSING,UNVERIFIED_OVERSIZE
110595,2413,41373.0,174,0.111246,A,9.0,3.5,14.5,,MISSING,UNVERIFIED_OVERSIZE
101296,2400,30286.0,148,0.113688,A,6.8,9.1,2.0,45.0,COMPLETE,STANDARD
110615,2397,49082.0,165,0.116126,A,11.5,2.5,6.2,,MISSING,UNVERIFIED_OVERSIZE
125570,2390,35492.0,135,0.118557,A,,,,,MISSING,UNVERIFIED_OVERSIZE
136998,2381,40010.0,168,0.12098,A,,,,,MISSING,UNVERIFIED_OVERSIZE
112066,2380,29256.0,169,0.123401,A,11.6,2.0,5.0,,MISSING,UNVERIFIED_OVERSIZE
112010,2377,58002.0,174,0.125819,A,,,,,MISSING,UNVERIFIED_OVERSIZE
112086,2364,18133.0,157,0.128224,A,3.7,11.7,3.0,25.0,COMPLETE,STANDARD
107459,2351,12171.0,175,0.130616,A,12.0,2.5,2.8,,MISSING,UNVERIFIED_OVERSIZE
139323,2345,11990.0,165,0.133001,A,,,,,MISSING,UNVERIFIED_OVERSIZE
101075,2335,10473.0,167,0.135376,A,13.5,6.0,9.5,,MISSING,UNVERIFIED_OVERSIZE
