strategy,rack_id,workload_expected_visits,distinct_sku_count,inventory_load_count
Basic,G0_10,120.0,2,12
Basic,G0_11,111.0,4,12
Basic,G0_12,259.0,9,12
Basic,G0_13,309.0,12,12
Basic,G0_14,1661.0,12,12
Basic,G0_15,3854.0,12,12
Basic,G11_1,129.0,1,12
Basic,G11_10,2240.0,12,12
Basic,G11_2,97.0,4,12
Basic,G11_4,250.0,11,12
Basic,G11_5,922.0,12,12
Basic,G11_6,922.0,12,12
Basic,G11_7,2529.0,12,12
Basic,G11_8,159.0,12,12
Basic,G11_9,1114.0,12,12
Basic,G12_1,129.0,1,12
Basic,G12_10,2548.0,12,12
Basic,G12_15,2332.0,12,12
Basic,G12_2,112.0,4,12
Basic,G12_4,346.0,12,12
Basic,G12_5,501.0,12,12
Basic,G12_6,3228.0,12,12
Basic,G12_7,5404.0,12,12
Basic,G12_8,667.0,12,12
Basic,G12_9,1567.0,12,12
Basic,G14_1,73.0,3,12
Basic,G14_10,3120.0,12,12
Basic,G14_12,4535.0,12,12
Basic,G14_13,5403.0,12,12
Basic,G14_14,5868.0,12,12
Basic,G14_15,6544.0,12,12
Basic,G14_2,113.0,5,12
Basic,G14_4,538.0,12,12
Basic,G14_5,625.0,12,12
Basic,G14_6,2120.0,12,12
Basic,G14_7,94.0,12,12
Basic,G14_8,1038.0,12,12
Basic,G14_9,2111.0,12,12
Basic,G15_1,112.0,4,12
Basic,G15_10,3527.0,12,12
Basic,G15_12,5202.0,12,12
Basic,G15_13,5716.0,12,12
Basic,G15_14,6410.0,12,12
Basic,G15_15,6620.0,12,12
Basic,G15_2,181.0,9,12
Basic,G15_4,841.0,12,12
Basic,G15_5,2828.0,12,12
Basic,G15_6,4521.0,12,12
Basic,G15_7,642.0,12,12
Basic,G15_8,1569.0,12,12
Basic,G15_9,2616.0,12,12
Basic,G17_1,111.0,4,12
Basic,G17_10,3513.0,12,12
Basic,G17_12,5304.0,12,12
Basic,G17_13,6051.0,12,12
Basic,G17_14,6597.0,12,12
Basic,G17_15,6056.0,12,12
Basic,G17_2,242.0,8,12
Basic,G17_4,2225.0,12,12
Basic,G17_5,1436.0,12,12
Basic,G17_6,4686.0,12,12
Basic,G17_7,566.0,12,12
Basic,G17_8,1452.0,12,12
Basic,G17_9,2507.0,12,12
Basic,G18_1,112.0,4,12
Basic,G18_10,3454.0,12,12
Basic,G18_12,4956.0,12,12
Basic,G18_13,5614.0,12,12
Basic,G18_14,6212.0,12,12
Basic,G18_15,6259.0,12,12
Basic,G18_2,154.0,8,12
Basic,G18_4,1068.0,12,12
Basic,G18_5,1459.0,12,12
Basic,G18_6,4250.0,12,12
