strategy,zone_id,usable_racks,usable_slots,occupied_racks,distinct_skus,workload_expected_visits,normalized_workload_expected_visits_per_slot,attributed_resource_flow,normalized_traffic_workload
Basic,Z01,9,108,8,96,34815.0,322.3611111111111,828360.5000000001,7670.0046296296305
Basic,Z02,14,168,13,78,18331.0,109.11309523809524,543447.3333333333,3234.805555555555
Basic,Z03,4,48,0,0,0.0,0.0,0.0,0.0
Basic,Z04,15,180,6,31,6314.0,35.077777777777776,162902.3333333333,905.0129629629629
Basic,Z05,8,96,8,96,16268.0,169.45833333333334,341861.0000000001,3561.0520833333344
Basic,Z06,14,168,12,49,6454.0,38.416666666666664,165610.1666666667,985.7748015873017
Basic,Z07,4,48,0,0,0.0,0.0,0.0,0.0
Basic,Z08,3,36,1,12,3875.0,107.63888888888889,119479.16666666663,3318.8657407407395
Basic,Z09,8,96,8,96,30431.0,316.9895833333333,589494.1666666666,6140.56423611111
Basic,Z10,12,144,12,74,8465.0,58.78472222222222,214767.4999999999,1491.4409722222217
Basic,Z11,8,96,1,12,2332.0,24.291666666666668,38477.99999999997,400.8124999999997
Basic,Z12,14,168,14,134,22397.0,133.3154761904762,538425.6666666667,3204.914682539683
Basic,Z13,4,48,4,4,467.0,9.729166666666666,14066.83333333333,293.0590277777777
Basic,Z14,8,96,8,96,46298.0,482.2708333333333,788795.9999999999,8216.624999999998
Basic,Z15,14,168,14,159,26190.0,155.89285714285714,602466.6666666666,3586.111111111111
Basic,Z16,4,48,4,9,479.0,9.979166666666666,13867.66666666667,288.9097222222223
Basic,Z17,8,96,8,96,47049.0,490.09375,796178.5,8293.526041666666
Basic,Z18,14,168,14,157,31314.0,186.39285714285714,726163.9999999999,4322.4047619047615
Basic,Z19,4,48,4,8,619.0,12.895833333333334,17864.499999999985,372.17708333333303
Basic,Z20,8,96,8,96,47976.0,499.75,810421.0000000001,8441.885416666668
Basic,Z21,14,168,14,157,26862.0,159.89285714285714,614071.0000000001,3655.1845238095243
Basic,Z22,4,48,4,7,696.0,14.5,20055.0,417.8125
Basic,Z23,8,96,8,96,44124.0,459.625,779882.3333333333,8123.774305555555
Basic,Z24,12,144,12,115,20182.0,140.15277777777777,489952.00000000006,3402.444444444445
Basic,Z25,4,48,4,4,481.0,10.020833333333334,14367.16666666666,299.3159722222221
Basic,Z26,8,96,8,96,36786.0,383.1875,686503.6666666665,7151.0798611111095
Basic,Z27,14,168,14,116,22461.0,133.69642857142858,552606.5,3289.3244047619046
Basic,Z28,15,180,2,1,258.0,1.4333333333333333,7826.0,43.477777777777774
Basic,Z29,8,96,8,96,24420.0,254.375,494572.66666666634,5151.798611111108
Basic,Z30,14,168,14,72,11931.0,71.01785714285714,305115.4999999998,1816.1636904761895
Basic,Z31,8,96,8,96,10324.0,107.54166666666667,228354.33333333352,2378.690972222224
Basic,Z32,12,144,9,26,4289.0,29.78472222222222,114406.16666666664,794.4872685185184
Basic,Z33,8,96,8,75,7874.0,82.02083333333333,202835.66666666666,2112.871527777778
Basic,Z34,14,168,5,4,455.0,2.7083333333333335,13653.166666666664,81.26884920634919
Basic,Z35,8,96,7,18,1407.0,14.65625,39242.500000000015,408.7760416666668
Basic,Z36,14,168,0,0,0.0,0.0,0.0,0.0
Pure affinity,Z01,9,108,8,96,31222.0,289.0925925925926,743786.6666666666,6886.913580246914
Pure affinity,Z02,14,168,13,78,22263.0,132.51785714285714,645003.8333333334,3839.308531746032
Pure affinity,Z03,4,48,0,0,0.0,0.0,0.0,0.0
Pure affinity,Z04,15,180,15,26,4058.0,22.544444444444444,123125.99999999999,684.0333333333333
