sku,handling_unit_id,from_rack,to_rack,from,to
100167,SHELF_034,G22_12,G13_12,Z15/A02/B-G22_12/L03/S01,Z10/A01/B-G13_12/L02/S02
100949,SHELF_023,G17_14,G17_13,Z13/A02/B-G17_14/L02/S04,Z13/A02/B-G17_13/L01/S02
101012,SHELF_013,G22_15,G17_14,Z15/A02/B-G22_15/L03/S01,Z13/A02/B-G17_14/L02/S01
101013,SHELF_116,G16_13,G17_7,Z13/A01/B-G16_13/L01/S01,Z13/A02/B-G17_7/L01/S01
101014,SHELF_072,G16_14,G11_10,Z13/A01/B-G16_14/L02/S04,Z09/A02/B-G11_10/L01/S02
101015,SHELF_109,G13_13,G11_8,Z10/A01/B-G13_13/L02/S03,Z09/A02/B-G11_8/L01/S04
101016,SHELF_011,G14_12,G14_14,Z10/A02/B-G14_12/L01/S04,Z10/A02/B-G14_14/L02/S03
101017,SHELF_082,G14_9,G22_10,Z10/A02/B-G14_9/L02/S03,Z15/A02/B-G22_10/L01/S04
101018,SHELF_011,G16_14,G14_14,Z13/A01/B-G16_14/L01/S01,Z10/A02/B-G14_14/L01/S01
101019,SHELF_022,G28_12,G16_13,Z17/A02/B-G28_12/L03/S02,Z13/A01/B-G16_13/L02/S02
101020,SHELF_018,G11_13,G21_14,Z09/A02/B-G11_13/L01/S01,Z15/A01/B-G21_14/L02/S02
101021,SHELF_085,G27_14,G20_9,Z17/A01/B-G27_14/L01/S01,Z14/A02/B-G20_9/L01/S01
101022,SHELF_113,G7_15,G13_7,Z06/A01/B-G7_15/L03/S04,Z10/A01/B-G13_7/L01/S02
101024,SHELF_160,G5_10,G3_10,Z01/A04/B-G5_10/L01/S01,Z01/A02/B-G3_10/L01/S04
101025,SHELF_019,G20_15,G10_14,Z14/A02/B-G20_15/L02/S02,Z09/A01/B-G10_14/L01/S03
101026,SHELF_034,G22_15,G13_12,Z15/A02/B-G22_15/L01/S01,Z10/A01/B-G13_12/L01/S04
101027,SHELF_219,G20_12,G7_5,Z14/A02/B-G20_12/L02/S02,Z06/A01/B-G7_5/L01/S03
101028,SHELF_003,G10_15,G16_15,Z09/A01/B-G10_15/L02/S02,Z13/A01/B-G16_15/L01/S01
101030,SHELF_006,G14_10,G20_15,Z10/A02/B-G14_10/L01/S02,Z14/A02/B-G20_15/L01/S03
101031,SHELF_244,G30_13,G10_2,Z18/A01/B-G30_13/L03/S01,Z11/A01/B-G10_2/L01/S03
101032,SHELF_067,G4_13,G20_10,Z04/A03/B-G4_13/L03/S01,Z14/A02/B-G20_10/L01/S01
101033,SHELF_291,G28_14,G28_2,Z17/A02/B-G28_14/L02/S01,Z21/A04/B-G28_2/L01/S02
101036,SHELF_302,G20_8,G30_2,Z14/A02/B-G20_8/L02/S02,Z21/A06/B-G30_2/L01/S03
101039,SHELF_237,G4_8,G4_6,Z01/A03/B-G4_8/L01/S03,Z01/A03/B-G4_6/L02/S04
101043,SHELF_273,G28_13,G33_8,Z17/A02/B-G28_13/L01/S03,Z19/A04/B-G33_8/L01/S01
101044,SHELF_233,G13_10,G31_8,Z10/A01/B-G13_10/L01/S03,Z19/A02/B-G31_8/L02/S01
101045,SHELF_065,G25_13,G3_15,Z16/A02/B-G25_13/L03/S04,Z04/A02/B-G3_15/L02/S01
101053,SHELF_064,G19_9,G28_14,Z14/A01/B-G19_9/L03/S03,Z17/A02/B-G28_14/L01/S03
101056,SHELF_053,G11_10,G8_13,Z09/A02/B-G11_10/L03/S03,Z06/A02/B-G8_13/L01/S04
101059,SHELF_050,G3_13,G22_12,Z04/A02/B-G3_13/L03/S02,Z15/A02/B-G22_12/L01/S04
101060,SHELF_230,G24_15,G25_4,Z16/A01/B-G24_15/L02/S02,Z16/A02/B-G25_4/L01/S01
101061,SHELF_015,G20_13,G22_15,Z14/A02/B-G20_13/L03/S04,Z15/A02/B-G22_15/L02/S02
101063,SHELF_024,G27_15,G19_13,Z17/A01/B-G27_15/L03/S03,Z14/A01/B-G19_13/L01/S03
101065,SHELF_020,G14_13,G13_13,Z10/A02/B-G14_13/L01/S04,Z10/A01/B-G13_13/L02/S04
101066,SHELF_025,G14_10,G22_14,Z10/A02/B-G14_10/L01/S04,Z15/A02/B-G22_14/L01/S02
101067,SHELF_211,G24_13,G31_9,Z16/A01/B-G24_13/L02/S01,Z19/A02/B-G31_9/L01/S03
101068,SHELF_139,G19_10,G8_8,Z14/A01/B-G19_10/L02/S02,Z06/A02/B-G8_8/L02/S01
101069,SHELF_229,G19_8,G20_2,Z14/A01/B-G19_8/L01/S03,Z14/A02/B-G20_2/L01/S01
101071,SHELF_155,G8_13,G17_5,Z06/A02/B-G8_13/L02/S04,Z13/A02/B-G17_5/L01/S03
101072,SHELF_107,G5_12,G4_12,Z04/A04/B-G5_12/L03/S03,Z04/A03/B-G4_12/L02/S01
101073,SHELF_030,G7_14,G11_13,Z06/A01/B-G7_14/L02/S03,Z09/A02/B-G11_13/L01/S01
101074,SHELF_284,G24_14,G32_6,Z16/A01/B-G24_14/L01/S03,Z19/A03/B-G32_6/L01/S01
101075,SHELF_004,G17_15,G17_15,Z13/A02/B-G17_15/L01/S04,Z13/A02/B-G17_15/L01/S03
101076,SHELF_122,G14_14,G30_12,Z10/A02/B-G14_14/L02/S01,Z18/A01/B-G30_12/L01/S03
101077,SHELF_226,G5_12,G28_6,Z04/A04/B-G5_12/L03/S04,Z17/A02/B-G28_6/L02/S03
101080,SHELF_072,G13_14,G11_10,Z10/A01/B-G13_14/L02/S02,Z09/A02/B-G11_10/L01/S01
101082,SHELF_224,G28_12,G19_2,Z17/A02/B-G28_12/L02/S02,Z14/A01/B-G19_2/L02/S01
101084,SHELF_153,G14_10,G14_5,Z10/A02/B-G14_10/L03/S01,Z10/A02/B-G14_5/L01/S01
101085,SHELF_048,G21_13,G7_14,Z15/A01/B-G21_13/L03/S04,Z06/A01/B-G7_14/L02/S01
101089,SHELF_282,G5_13,G30_4,Z04/A04/B-G5_13/L03/S04,Z19/A01/B-G30_4/L01/S02
101090,SHELF_136,G19_10,G19_6,Z14/A01/B-G19_10/L01/S01,Z14/A01/B-G19_6/L01/S01
101091,SHELF_237,G5_8,G4_6,Z01/A04/B-G5_8/L03/S04,Z01/A03/B-G4_6/L01/S04
101092,SHELF_030,G22_13,G11_13,Z15/A02/B-G22_13/L03/S01,Z09/A02/B-G11_13/L01/S04
101093,SHELF_255,G16_12,G31_7,Z13/A01/B-G16_12/L03/S03,Z19/A02/B-G31_7/L01/S04
101094,SHELF_206,G3_9,G3_8,Z01/A02/B-G3_9/L02/S01,Z01/A02/B-G3_8/L02/S04
101095,SHELF_005,G16_15,G19_15,Z13/A01/B-G16_15/L02/S04,Z14/A01/B-G19_15/L02/S01
101096,SHELF_283,G28_15,G31_5,Z17/A02/B-G28_15/L01/S04,Z19/A02/B-G31_5/L01/S03
101097,SHELF_133,G20_13,G14_6,Z14/A02/B-G20_13/L03/S01,Z10/A02/B-G14_6/L01/S01
101099,SHELF_311,G5_13,G31_2,Z04/A04/B-G5_13/L02/S04,Z21/A07/B-G31_2/L01/S01
101101,SHELF_040,G16_8,G24_14,Z13/A01/B-G16_8/L03/S03,Z16/A01/B-G24_14/L01/S04
101102,SHELF_128,G14_12,G21_7,Z10/A02/B-G14_12/L03/S01,Z15/A01/B-G21_7/L01/S04
101103,SHELF_169,G2_10,G4_9,Z01/A01/B-G2_10/L01/S03,Z01/A03/B-G4_9/L02/S04
