rack_id,abc_present,abc_skus,abc_sku_count,abc_load_count,abc_weight_kg,abc_visit_load,abc_occupied_slots,affinity_present,affinity_skus,affinity_sku_count,affinity_load_count,affinity_weight_kg,affinity_visit_load,affinity_occupied_slots,ctbsa_present,ctbsa_skus,ctbsa_sku_count,ctbsa_load_count,ctbsa_weight_kg,ctbsa_visit_load,ctbsa_occupied_slots,affinity_sku_set_changed_vs_abc,affinity_load_set_changed_vs_abc,ctbsa_sku_set_changed_vs_abc,ctbsa_load_set_changed_vs_abc
G0_0,False,,0,0,0.0,0.0,0,False,,0,0,0.0,0.0,0,True,110475|111391|112387|118468|132437|135095|139112,7,9,50.6434,442.0,9,False,False,True,True
G0_1,False,,0,0,0.0,0.0,0,False,,0,0,0.0,0.0,0,True,110150|112208|112435|113202|120235|131889|132437|139112,8,9,71.11408,549.0,9,False,False,True,True
G0_10,True,110150|110393|110475|111391|131889|132437|139112,7,12,121.53408000000002,191.0,12,True,101330|109534|110172|110231|110299|110381|110475|110710|111321|132437|132450|134029,12,12,143.89956999999998,861.0,12,True,110480|110606|111325|111391|112281|113159,6,6,29.82817,1718.0,6,True,True,True,True
G0_11,True,110150|110278|110393|110475|111391|111897|121875|131889|132437|132450|139112,11,12,134.23408,253.0,12,True,109534|110172|110328|110363|110379|110381|110710|111897|112432|120049|131889|139112,12,12,131.68448,361.0,12,True,101330|110231|110300|110393|111237|111897|125413|132437|140089,9,10,96.06612000000001,1972.0,10,True,True,True,True
G0_12,True,110150|110328|110342|110363|110379|110381|110485|111897|112357|112432|120049|139112,12,12,131.46678,491.0,12,True,101330|110231|110278|110299|110475|110492|111321|111391|121875|132437|132450|134029,12,12,143.85160000000005,944.0,12,True,101102|101330|110155|110461|111391|112316|112364|132437|133307|140084,10,10,59.59105,2176.0,10,True,True,True,True
G0_13,True,101330|110148|110221|110299|110475|110592|111212|111391|120450|123310|125413|136923,12,12,138.34744,2801.0,12,True,110150|110161|110328|110342|110393|111897|112208|112432|115988|120049|131889|139112,12,12,132.74810000000002,502.0,12,True,101067|101073|107186|110150|110360|110462|110475|111391|132437|140001,10,11,67.60548000000001,2244.0,11,True,True,True,True
G0_14,True,110204|110319|110328|110329|110363|110461|110485|119644|132276|134028|137330|139112,12,12,106.64768,2137.0,12,True,101330|109534|110172|110231|110379|110381|110475|110710|111321|132437|132450|134029,12,12,143.22802000000001,741.0,12,True,101066|107107|107153|107297|110178|112021|131590|132437|132450|136957,10,10,63.48608,2384.0,10,True,True,True,True
G0_15,True,107112|111359|113225|113230|118468|118493|119516|121926|132597|137931|139148|139166,12,12,1.9085199999999998,94.0,12,True,107423|110564|113225|118493|118506|119514|119516|121926|136966|139166|140084|140800,12,12,3.59781,56.0,12,True,101195|110172|110182|110221|110363|110573|110612|111391|112021|124794|141277,11,11,63.65772,2602.0,11,True,True,True,True
G0_2,False,,0,0,0.0,0.0,0,False,,0,0,0.0,0.0,0,True,110158|110314|110379|111391|131889|132437|132450|134029|139112,9,10,98.67482,683.0,10,False,False,True,True
G0_3,False,,0,0,0.0,0.0,0,False,,0,0,0.0,0.0,0,True,101292|110150|111391|112432|119644|129854|131889|132437,8,10,93.64166,832.0,10,False,False,True,True
